period,method,metric,n,candidate_minus_baseline
development_2017_2022,draft_only,plus5_brier_row,1080,0.00011750737620367504
development_2017_2022,draft_only,impact_brier_row,1080,0.00011628844611407618
development_2017_2022,draft_only,zero_brier_row,1080,7.011839948795057e-05
development_2017_2022,draft_only,extended_absence_brier_row,1080,-0.00022358894364091282
development_2017_2022,draft_only,ppg_80_covered,1080,0.0
development_2017_2022,draft_only,contribution_80_covered,1080,-0.004629629629629629
development_2017_2022,draft_only,played_80_covered,1080,-0.005555555555555556
development_2017_2022,draft_only,weighted_season_gap,1080,-0.014038759773085106
development_2017_2022,draft_only,weight_last3_seasons,1080,0.00046957516498602594
development_2017_2022,draft_only,weight_10plus_seasons,1080,-0.0016924358712378526
development_2017_2022,draft_only,effective_sample_size,1080,-0.099458996084634
development_2017_2022,support_only,ppg_crps,1080,0.002066230918042711
development_2017_2022,support_only,contribution_crps,1080,0.013593780169197284
development_2017_2022,support_only,played_crps,1080,-0.0012372385799499421
development_2017_2022,support_only,plus3_brier_row,1080,0.00021130505698605334
development_2017_2022,support_only,plus5_brier_row,1080,0.00016449490942869593
development_2017_2022,support_only,impact_brier_row,1080,-5.3118659135761626e-05
development_2017_2022,support_only,zero_brier_row,1080,6.023243793294359e-05
development_2017_2022,support_only,extended_absence_brier_row,1080,-0.00019606993663953549
development_2017_2022,support_only,ppg_80_covered,1080,0.005555555555555556
development_2017_2022,support_only,contribution_80_covered,1080,-0.002777777777777778
development_2017_2022,support_only,played_80_covered,1080,-0.003703703703703704
development_2017_2022,support_only,weighted_season_gap,1080,-0.0008029147056083785
development_2017_2022,support_only,weight_last3_seasons,1080,0.0005026939646482925
development_2017_2022,support_only,weight_10plus_seasons,1080,0.0004101807661780199
development_2017_2022,support_only,effective_sample_size,1080,0.02533932151130835
development_2017_2022,recency_hl8,ppg_crps,1080,-0.001683607494829017
development_2017_2022,recency_hl8,contribution_crps,1080,-0.003291695955883945
development_2017_2022,recency_hl8,played_crps,1080,-0.0011528861861728305
development_2017_2022,recency_hl8,plus3_brier_row,1080,-0.0007457778300743427
development_2017_2022,recency_hl8,plus5_brier_row,1080,-0.0003521167109349587
development_2017_2022,recency_hl8,impact_brier_row,1080,-0.0005568633324889154
development_2017_2022,recency_hl8,zero_brier_row,1080,-1.5365414630076265e-05
development_2017_2022,recency_hl8,extended_absence_brier_row,1080,4.3210467966199186e-05
development_2017_2022,recency_hl8,ppg_80_covered,1080,0.000925925925925926
