method,period,metric,n,season_clusters,candidate_minus_baseline,bootstrap_p025,bootstrap_p975,probability_candidate_better
draft_only,temporal_2023_2025,zero_brier_row,540,3,0.0001953366857146849,6.542313571461483e-05,0.00044757758703941274,0.0
draft_only,temporal_2023_2025,extended_absence_brier_row,540,3,-0.00038989336565979865,-0.0005110153292892186,-0.00018075396870416202,1.0
support_only,recent_2020_2025,ppg_crps,1080,6,1.843287869336798e-05,-0.0023928913385841324,0.002565655739849798,0.492
support_only,recent_2020_2025,contribution_crps,1080,6,-0.005233457717234657,-0.02622198328147589,0.018928980160069997,0.655
support_only,recent_2020_2025,played_crps,1080,6,-0.00028809045916584024,-0.0037590438724145548,0.004254342741272915,0.5715
support_only,recent_2020_2025,plus3_brier_row,1080,6,9.955937677132982e-05,-0.00033798515567874226,0.000540089359608774,0.3345
support_only,recent_2020_2025,plus5_brier_row,1080,6,-4.8725567735101436e-05,-0.0002923646802671682,0.0002736772917914512,0.625
support_only,recent_2020_2025,impact_brier_row,1080,6,-0.00025665605037361946,-0.0006995422199839262,0.0003039734600267435,0.851
support_only,recent_2020_2025,zero_brier_row,1080,6,-2.8918468387077465e-05,-0.0003074260721746476,0.00022335447988087263,0.5595
support_only,recent_2020_2025,extended_absence_brier_row,1080,6,0.00022145910305372882,-0.00025147566874090735,0.0006923587066680729,0.193
support_only,temporal_2023_2025,ppg_crps,540,3,-0.002366286556943873,-0.004978992257080852,-0.0010017248319872361,1.0
support_only,temporal_2023_2025,contribution_crps,540,3,-0.029269426154279708,-0.0409111112994648,-0.014601419389589844,1.0
support_only,temporal_2023_2025,played_crps,540,3,-0.0016719728363329368,-0.004424059316975403,0.0021304560805827755,0.849
support_only,temporal_2023_2025,plus3_brier_row,540,3,0.00018699913196035142,-0.0003852768888947678,0.000933784932387267,0.2525
support_only,temporal_2023_2025,plus5_brier_row,540,3,-0.000147752864229165,-0.00016271722004159052,-0.00013808780856865136,1.0
support_only,temporal_2023_2025,impact_brier_row,540,3,-0.00015883392556220784,-0.0010228480658699673,0.0010429829671014272,0.6175
support_only,temporal_2023_2025,zero_brier_row,540,3,-8.364096718498216e-05,-0.0004918631523819156,0.00030124863270652536,0.6255
support_only,temporal_2023_2025,extended_absence_brier_row,540,3,0.00046406285695838447,-6.967990320599695e-05,0.0011439688439816797,0.037
