player,player_id,position,player_game_count,team_name,route_snaps,targets,target_percent,slot_snaps,slot_snap_percent,slot_targets,slot_target_percent,slot_receptions,slot_drops,slot_yards,slot_yprr,slot_touchdowns,slot_drop_rate,slot_catch_rate
Reggie Bush,2947,HB,10,NO,251,69,27.5,46,18.3,12,26.1,9,0,99,2.15,0,0.0,75.0
David Martin,916,TE,16,MIA,226,42,18.6,71,31.4,8,11.3,6,0,146,2.06,1,0.0,75.0
Justin Gage,1452,WR,12,TEN,339,70,20.6,27,8.0,4,14.8,3,0,64,2.37,1,0.0,75.0
Greg Jennings,2997,WR,16,GB,563,132,23.4,164,29.1,36,22.0,27,2,432,2.63,2,6.9,75.0
Antonio Gates,1609,TE,16,SD,466,84,18.0,236,50.6,39,16.5,29,1,362,1.53,3,3.3,74.4
Eddie Royal,4356,WR,15,DEN,561,127,22.6,119,21.2,31,26.1,23,2,265,2.23,3,8.0,74.2
Dustin Keller,4344,TE,16,NYJ,337,74,22.0,140,41.5,27,19.3,20,2,256,1.83,2,9.1,74.1
Vincent Jackson,2278,WR,16,SD,503,96,19.1,154,30.6,27,17.5,20,0,393,2.55,5,0.0,74.1
T.J. Houshmandzadeh,921,WR,15,CIN,555,129,23.2,415,74.8,88,21.2,65,6,657,1.58,3,8.5,73.9
Steve Smith,3667,WR,16,NYG,333,80,24.0,153,45.9,46,30.1,34,4,348,2.27,1,10.5,73.9
Greg Olsen,3647,TE,16,CHI,417,76,18.2,153,36.7,26,17.0,19,1,201,1.31,2,5.0,73.1
Jason Hill,3692,WR,12,SF,231,42,18.2,191,82.7,37,19.4,27,1,287,1.50,3,3.6,73.0
L.J. Smith,1376,TE,13,PHI,310,61,19.7,49,15.8,11,22.4,8,1,72,1.47,0,11.1,72.7
Owen Daniels,3043,TE,16,HST,517,87,16.8,69,13.3,11,15.9,8,0,99,1.43,0,0.0,72.7
Larry Fitzgerald,1724,WR,16,ARZ,655,146,22.3,129,19.7,25,19.4,18,2,241,1.87,2,10.0,72.0
Brandon Jones,2313,WR,16,TEN,333,60,18.0,175,52.6,32,18.3,23,0,246,1.41,0,0.0,71.9
Lance Moore,2718,WR,16,NO,485,113,23.3,210,43.3,53,25.2,38,2,413,1.97,3,5.0,71.7
Tim Hightower,4463,HB,16,ARZ,239,43,18.0,23,9.6,7,30.4,5,2,36,1.57,0,28.6,71.4
Fred Jackson,3368,HB,16,BUF,159,43,27.0,20,12.6,7,35.0,5,0,67,3.35,0,0.0,71.4
Lee Evans,1734,WR,16,BUF,531,99,18.6,129,24.3,21,16.3,15,1,196,1.52,0,6.3,71.4
Jerheme Urban,1709,WR,16,ARZ,364,48,13.2,321,88.2,45,14.0,32,3,437,1.36,4,8.6,71.1
Michael Jenkins,1750,WR,16,ATL,382,76,19.9,165,43.2,24,14.5,17,2,177,1.07,1,10.5,70.8
Tony Scheffler,3006,TE,13,DEN,246,58,23.6,154,62.6,34,22.1,24,3,297,1.93,2,11.1,70.6
Andre Johnson,1319,WR,16,HST,581,162,27.9,153,26.3,34,22.2,24,2,268,1.75,1,7.7,70.6
Billy Miller,534,TE,15,NO,283,59,20.8,101,35.7,27,26.7,19,0,282,2.79,0,0.0,70.4
Bryant Johnson,1333,WR,16,SF,493,68,13.8,238,48.3,20,8.4,14,1,172,0.72,0,6.7,70.0
Dwayne Bowe,3639,WR,16,KC,605,155,25.6,63,10.4,10,15.9,7,0,45,0.71,0,0.0,70.0
Jerricho Cotchery,1829,WR,16,NYJ,543,109,20.1,195,35.9,49,25.1,34,1,352,1.81,0,2.9,69.4
Kevin Boss,3769,TE,15,NYG,321,54,16.8,74,23.1,13,17.6,9,1,87,1.18,2,10.0,69.2
Derrick Mason,271,WR,16,BLT,444,117,26.4,219,49.3,41,18.7,28,3,370,1.69,1,9.7,68.3
Dallas Clark,1340,TE,15,IND,452,103,22.8,169,37.4,41,24.3,28,3,343,2.03,4,9.7,68.3
Anquan Boldin,1369,WR,12,ARZ,490,122,24.9,377,76.9,90,23.9,61,4,795,2.11,5,6.2,67.8
Roddy White,2244,WR,16,ATL,460,142,30.9,151,32.8,43,28.5,29,4,512,3.39,1,12.1,67.4
Reggie Wayne,800,WR,16,IND,571,127,22.2,210,36.8,43,20.5,29,4,338,1.61,3,12.1,67.4
Dennis Northcutt,605,WR,14,JAX,288,66,22.9,214,74.3,49,22.9,33,4,399,1.86,2,10.8,67.3
Derek Schouman,3838,TE,16,BUF,157,18,11.5,28,17.8,3,10.7,2,0,20,0.71,0,0.0,66.7
Logan Payne,4037,WR,2,SEA,32,4,12.5,26,81.3,3,11.5,2,0,25,0.96,0,0.0,66.7
John Carlson,4352,TE,16,SEA,353,77,21.8,60,17.0,15,25.0,10,2,162,2.70,1,16.7,66.7
Greg Estandia,3597,TE,16,JAX,101,13,12.9,40,39.6,3,7.5,2,0,28,0.70,0,0.0,66.7
Maurice Stovall,3035,WR,4,TB,18,7,38.9,13,72.2,3,23.1,2,0,16,1.23,0,0.0,66.7
Donald Driver,533,WR,16,GB,553,110,19.9,434,78.5,81,18.7,54,5,625,1.44,3,8.5,66.7
Jermichael Finley,4405,TE,13,GB,46,12,26.1,8,17.4,3,37.5,2,1,9,1.13,1,33.3,66.7
Kevin Curtis,1389,WR,9,PHI,279,61,21.9,21,7.5,6,28.6,4,1,57,2.71,0,20.0,66.7
B.J. Askew,1400,FB,10,TB,98,17,17.3,7,7.1,3,42.9,2,0,9,1.29,0,0.0,66.7
Miles Austin,3211,WR,11,DAL,138,22,15.9,22,15.9,3,13.6,2,0,31,1.41,0,0.0,66.7
Brandon Manumaleuna,876,TE,16,SD,174,18,10.3,22,12.6,3,13.6,2,0,20,0.91,0,0.0,66.7
Joshua Cribbs,2544,WR,11,CLV,60,7,11.7,20,33.3,3,15.0,2,0,18,0.90,1,0.0,66.7
Plaxico Burress,586,WR,10,NYG,274,65,23.7,57,20.8,9,15.8,6,0,73,1.28,1,0.0,66.7
Dante' Hall,677,WR,8,STR,97,18,18.6,82,84.5,15,18.3,10,1,93,1.13,0,9.1,66.7
Joe Klopfenstein,2991,TE,15,STR,198,18,9.1,69,34.8,6,8.7,4,1,33,0.48,0,20.0,66.7
David Anderson,3196,WR,16,HST,191,27,14.1,154,80.6,18,11.7,12,1,117,0.76,2,7.7,66.7
Ben Patrick,3831,TE,10,ARZ,86,13,15.1,30,34.9,3,10.0,2,0,14,0.47,0,0.0,66.7
Ted Ginn Jr.,3625,WR,16,MIA,406,91,22.4,37,9.1,6,16.2,4,0,33,0.89,0,0.0,66.7
Bobby Wade,1448,WR,16,MIN,429,86,20.0,288,67.1,54,18.8,36,3,423,1.47,1,7.7,66.7
Visanthe Shiancoe,1406,TE,16,MIN,347,57,16.4,46,13.3,6,13.0,4,1,51,1.11,1,20.0,66.7
John Standeford,2183,WR,9,DET,194,30,15.5,61,31.4,9,14.8,6,0,105,1.72,0,0.0,66.7
James Hardy,4355,WR,13,BUF,186,23,12.4,25,13.4,3,12.0,2,1,12,0.48,1,33.3,66.7
Gijon Robinson,4056,TE,15,IND,147,23,15.6,10,6.8,3,30.0,2,0,5,0.50,0,0.0,66.7
Glenn Martinez,2112,WR,2,DEN,22,4,18.2,17,77.3,3,17.6,2,0,20,1.18,0,0.0,66.7
Alge Crumpler,805,TE,15,TEN,242,41,16.9,23,9.5,6,26.1,4,1,31,1.35,0,20.0,66.7
Antwaan Randle El,1069,WR,16,WAS,525,79,15.0,347,66.1,59,17.0,39,5,406,1.17,3,11.4,66.1
Tony Gonzalez,237,TE,16,KC,580,150,25.9,459,79.1,113,24.6,74,4,839,1.83,2,5.1,65.5
Santana Moss,786,WR,16,WAS,527,131,24.9,116,22.0,26,22.4,17,1,230,1.98,4,5.6,65.4
Hines Ward,380,WR,16,PIT,549,119,21.7,471,85.8,99,21.0,64,8,851,1.81,6,11.1,64.6
Marcedes Lewis,2973,TE,16,JAX,481,64,13.3,138,28.7,22,15.9,14,5,192,1.39,1,26.3,63.6
Reggie Kelly,468,TE,16,CIN,326,39,12.0,70,21.5,11,15.7,7,0,62,0.89,0,0.0,63.6
Roscoe Parrish,2272,WR,13,BUF,264,42,15.9,134,50.8,27,20.1,17,0,187,1.40,1,0.0,63.0
Isaac Bruce,80,WR,16,SF,583,101,17.3,170,29.2,32,18.8,20,2,307,1.81,2,9.1,62.5
Chad Johnson,806,WR,13,CIN,511,87,17.0,40,7.8,8,20.0,5,2,44,1.10,1,28.6,62.5
Darrell Jackson,639,WR,11,DEN,136,20,14.7,51,37.5,8,15.7,5,1,87,1.71,0,16.7,62.5
Michael Bumpus,4618,WR,3,SEA,34,8,23.5,30,88.2,8,26.7,5,0,48,1.60,1,0.0,62.5
Jabar Gaffney,1040,WR,16,NE,488,59,12.1,179,36.7,16,8.9,10,2,122,0.68,0,16.7,62.5
Steve Smith,837,WR,14,CAR,367,123,33.5,119,32.4,34,28.6,21,3,428,3.60,1,12.5,61.8
Donnie Avery,4347,WR,15,STR,403,99,24.6,71,17.6,13,18.3,8,2,126,1.77,0,20.0,61.5
Bobby Engram,177,WR,13,SEA,316,77,24.4,258,81.6,65,25.2,40,7,418,1.62,0,14.9,61.5
