candidate_id,forecast_origin,latest_usable_inner_origin,model_name,parameters_json,selection_end_origin,selection_metric,selection_score,selection_seasons,selection_source,selection_start_origin
0,2020,2018,next_participation_logistic,"{""C"": 0.1}",2018.0,brier,0.1900214625138432,7,strict_prior_season_mean,2012.0
0,2021,2019,next_participation_logistic,"{""C"": 0.1}",2019.0,brier,0.1869011141286225,8,strict_prior_season_mean,2012.0
0,2022,2020,next_participation_logistic,"{""C"": 0.1}",2020.0,brier,0.18546145309796788,9,strict_prior_season_mean,2012.0
0,2023,2021,next_participation_logistic,"{""C"": 0.1}",2021.0,brier,0.18373714077397568,10,strict_prior_season_mean,2012.0
0,2024,2022,next_participation_logistic,"{""C"": 0.1}",2022.0,brier,0.1814557081981284,11,strict_prior_season_mean,2012.0
0,2025,2023,next_participation_logistic,"{""C"": 0.1}",2023.0,brier,0.17996508087678129,12,strict_prior_season_mean,2012.0
0,2026,2024,next_participation_logistic,"{""C"": 0.1}",2024.0,brier,0.1796766100890344,13,strict_prior_season_mean,2012.0
0,2011,2009,next_participation_lightgbm,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_lambda"": 5.0}",,brier,,0,fixed_default_insufficient_prior,
0,2012,2010,next_participation_lightgbm,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_lambda"": 5.0}",,brier,,0,fixed_default_insufficient_prior,
0,2013,2011,next_participation_lightgbm,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_lambda"": 5.0}",,brier,,0,fixed_default_insufficient_prior,
0,2014,2012,next_participation_lightgbm,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_lambda"": 5.0}",2012,brier,,1,fixed_default_insufficient_prior,2012
0,2015,2013,next_participation_lightgbm,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_lambda"": 5.0}",2013,brier,,2,fixed_default_insufficient_prior,2012
3,2016,2014,next_participation_lightgbm,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 15, ""reg_lambda"": 5.0}",2014,brier,0.17439104973043315,3,strict_prior_season_mean,2012
3,2017,2015,next_participation_lightgbm,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 15, ""reg_lambda"": 5.0}",2015,brier,0.18029468171591184,4,strict_prior_season_mean,2012
3,2018,2016,next_participation_lightgbm,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 15, ""reg_lambda"": 5.0}",2016,brier,0.18268449851496313,5,strict_prior_season_mean,2012
2,2019,2017,next_participation_lightgbm,"{""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 7, ""reg_lambda"": 5.0}",2017,brier,0.18056841864008197,6,strict_prior_season_mean,2012
2,2020,2018,next_participation_lightgbm,"{""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 7, ""reg_lambda"": 5.0}",2018,brier,0.17863828773832297,7,strict_prior_season_mean,2012
2,2021,2019,next_participation_lightgbm,"{""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 7, ""reg_lambda"": 5.0}",2019,brier,0.17577343097361853,8,strict_prior_season_mean,2012
2,2022,2020,next_participation_lightgbm,"{""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 7, ""reg_lambda"": 5.0}",2020,brier,0.17492697602937576,9,strict_prior_season_mean,2012
2,2023,2021,next_participation_lightgbm,"{""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 7, ""reg_lambda"": 5.0}",2021,brier,0.17401924907625282,10,strict_prior_season_mean,2012
2,2024,2022,next_participation_lightgbm,"{""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 7, ""reg_lambda"": 5.0}",2022,brier,0.17216854669788784,11,strict_prior_season_mean,2012
2,2025,2023,next_participation_lightgbm,"{""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 7, ""reg_lambda"": 5.0}",2023,brier,0.17084864199511995,12,strict_prior_season_mean,2012
2,2026,2024,next_participation_lightgbm,"{""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 7, ""reg_lambda"": 5.0}",2024,brier,0.17106298570866352,13,strict_prior_season_mean,2012
