league,method,tier,period,n,ppg_crps_delta,ppg_crps_relative_delta,contribution_crps_relative_delta,played_crps_relative_delta,abs_played_bias_degradation,abs_extended_absence_calibration_degradation,ppg_80_coverage_delta
dk,add_log_adp,core_strict,temporal_2023_2025,252,-0.0006272314911806021,-0.00026252099799783934,0.0011738200069060234,-0.0010690125257022398,-0.0011594793858481015,0.00011388803487179244,0.007936507936507908
dk,add_log_adp,depth_main,development_2017_2022,1039,5.3925095663043265e-05,2.809589776853194e-05,-0.0002949425703778763,-0.00041217606999821577,-0.006283531135314546,-0.000571684821206786,-0.002887391722810384
dk,add_log_adp,depth_main,temporal_2023_2025,528,7.431217210829288e-05,3.682961250461858e-05,-0.00012211984320165126,-0.000750790410472546,0.001920334624724719,0.00016854469511362602,-0.0018939393939394478
beta,replace_adp_rank_with_log_adp,core_broad,development_2017_2022,936,0.0004898570572109406,0.00025589220460320306,0.00017166897092635303,0.0008664750630424933,-0.0006224039975417373,-0.00023462355214297348,-0.007478632478632452
beta,replace_adp_rank_with_log_adp,core_broad,temporal_2023_2025,468,0.0010701039814704494,0.0005376692164666963,0.0003266668767838432,-0.00023815730418275116,0.005589517821422127,0.0002697828636680222,0.0
beta,replace_adp_rank_with_log_adp,core_main,development_2017_2022,720,2.326992790435689e-05,1.2036506688906101e-05,-2.3116156426805645e-05,0.0007624897481679493,0.0023405437542948215,-0.0005484568827183872,-0.008333333333333304
beta,replace_adp_rank_with_log_adp,core_main,temporal_2023_2025,360,0.001303071429282987,0.0006454281758569991,0.00043829237460046855,-0.0003357644285820749,-0.0017895538849588867,0.00010343610948350401,0.0
beta,replace_adp_rank_with_log_adp,core_main_qb1,development_2017_2022,718,0.0003856820225585089,0.0001996315876333643,-0.0001373794336866352,0.0005453897661762408,0.001620775809891839,-0.0004914156862589197,-0.00835654596100277
beta,replace_adp_rank_with_log_adp,core_main_qb1,temporal_2023_2025,358,0.0013991040193763737,0.000701767648702667,0.0004421453725631519,-0.0003649139895941511,-0.0017315063761832433,0.0001258782111243778,0.0
beta,replace_adp_rank_with_log_adp,core_strict,development_2017_2022,504,0.00014055407455337843,7.294727396267575e-05,-5.0954926908097775e-05,0.0010637153050030435,0.002810571981515353,-0.000548683745378184,-0.007936507936507908
beta,replace_adp_rank_with_log_adp,core_strict,temporal_2023_2025,252,0.0006360622028105389,0.00033909337680104734,-0.00020824046424550158,0.00033144252440164834,0.0024834671399223893,-0.00011243125248266983,-0.007936507936507908
beta,replace_adp_rank_with_log_adp,depth_main,development_2017_2022,1039,0.0007197217058385608,0.000435661195021364,0.00027781725819608916,0.00033687904162338356,0.0033454404835454588,0.0003756082274841699,-0.0009624639076034613
beta,replace_adp_rank_with_log_adp,depth_main,temporal_2023_2025,528,0.0016169350291921347,0.000874586238390318,-0.00032098101656286016,0.002006801134426306,-0.0007898074365268407,-8.617546829464695e-05,0.0037878787878787845
dk,replace_adp_rank_with_log_adp,core_broad,development_2017_2022,936,0.000484826816701478,0.00020010149641502828,9.008102119900663e-05,0.001092779466368654,-0.00020485395521674388,-0.00024941331087496854,-0.005341880341880323
dk,replace_adp_rank_with_log_adp,core_broad,temporal_2023_2025,468,-0.00011067733660441448,-4.659926285666138e-05,0.00023996576111762202,0.0003170393384543946,0.005907658523435565,-0.0003171763342667555,0.0064102564102563875
dk,replace_adp_rank_with_log_adp,core_main,development_2017_2022,720,3.4452186525868456e-07,1.3778754670568105e-07,-5.5662879363871376e-05,0.0005712822394443595,0.000567714126037483,-0.0003425548379182436,-0.008333333333333304
dk,replace_adp_rank_with_log_adp,core_main,temporal_2023_2025,360,-0.0007420164448981303,-0.0003036043899564689,0.000269309787034544,-0.0002867881458752386,-0.00478985236348102,-0.00013127218496787607,0.008333333333333415
dk,replace_adp_rank_with_log_adp,core_main_qb1,development_2017_2022,718,7.169229552017597e-05,2.8716654365545935e-05,-0.00010500103756672097,0.0005347115108107481,0.0002610430163763333,-0.0003272616432054287,-0.00835654596100277
dk,replace_adp_rank_with_log_adp,core_main_qb1,temporal_2023_2025,358,-0.0008287965507647321,-0.00034239773402600093,0.0002587569940259993,-0.00024386176888768762,-0.004717644580789205,-0.00011628351928885672,0.008379888268156388
dk,replace_adp_rank_with_log_adp,core_strict,development_2017_2022,504,0.00010179848927371893,3.856973992788504e-05,-0.00018256841264252532,-0.00031365046807751984,0.0011738804681224596,-0.0005104249046172654,-0.009920634920634885
dk,replace_adp_rank_with_log_adp,core_strict,temporal_2023_2025,252,-0.0006918464118110812,-0.0002895648784279059,-0.000322023653176462,-0.0019465342030706712,0.0013775121057438486,-2.728115136299558e-05,0.003968253968253954
dk,replace_adp_rank_with_log_adp,depth_main,development_2017_2022,1039,0.0005220070447877756,0.00027197460448658006,0.00014012716546085713,-0.0006879997451020303,-0.0011469924582952484,-2.8834520267140284e-05,0.0
dk,replace_adp_rank_with_log_adp,depth_main,temporal_2023_2025,528,0.00031915076944688536,0.00015817326873679427,-0.0003595913821554664,-0.0008416116164505771,-0.001543201763244774,-0.0002256184163583752,-0.007575757575757569
