mode,root_seed,aj_available,gain,se,lcb80,buy_ev,pass_ev,paired_n,buy_completion,pass_completion,path_mean_sd,season_mean_sd,runtime_seconds
nested,1416456620,True,-33.19636017343272,11.885890296950892,-43.19977782726487,1584.8066259881725,1618.0029861616051,46,97.91666666666667,95.83333333333333,38.93320049388388,84.50474166843836,0.41061290000288864
nested,1416456620,False,-33.508307581362516,11.894754126924976,-43.51918522271163,1584.8066259881725,1618.314933569535,46,97.91666666666667,95.83333333333333,38.71501767632764,84.6624665659336,0.38621670000065933
current,4069557385,True,17.648404479026794,10.960538459900738,8.423782579781765,1606.2206344604492,1588.5722299814224,48,100.0,100.0,31.223685101925962,77.27787095652856,0.4125964999984717
current,4069557385,False,0.9453607518622216,11.134411327098919,-8.425596244359001,1602.63499738815,1601.6896366362876,47,97.91666666666667,100.0,39.260615998472154,76.56118206270574,0.4222928999988653
nested,4069557385,True,-48.04554126573645,12.303071825367141,-58.40006775213811,1566.3934722154038,1614.4390134811401,46,95.83333333333333,100.0,35.758013833412505,88.05728706217855,0.4063940000014554
nested,4069557385,False,-46.24245668494183,12.230284393717529,-56.53572372332994,1567.3839369649472,1613.626393649889,46,95.83333333333333,100.0,34.577920486047134,87.87503675015618,0.3988601999990351
current,2540684655,True,16.030999053608287,11.574162010222787,6.2899385449918235,1611.6610968763177,1595.6300978227096,44,93.75,91.66666666666667,34.92299872970182,82.90072369355148,0.39306349999969825
current,2540684655,False,-10.2282457554594,11.572534786752838,-19.967936758251785,1588.9576181046507,1599.18586386011,47,97.91666666666667,97.91666666666667,38.28623574296687,80.60383920751933,0.42850000000180444
nested,2540684655,True,-13.568198021422042,12.828325235649054,-24.364788930923545,1593.7518370202247,1607.3200350416469,47,97.91666666666667,100.0,26.380142052990802,100.65335710227517,0.3946353999999701
nested,2540684655,False,-13.761992371600607,13.234111289618657,-24.900101440410694,1593.516549276269,1607.2785416478696,46,95.83333333333333,100.0,27.09079845600655,100.42813791404807,0.37098169999808306
current,269504634,True,11.26300706254675,11.632928642168164,1.4724873086594936,1601.7210564714796,1590.458049408933,47,97.91666666666667,100.0,32.2114912929575,85.19196515178119,0.43153419999725884
current,269504634,False,9.143431124479875,11.717328216127836,-0.7181211029563492,1596.101588000422,1586.958156875942,46,95.83333333333333,100.0,33.49267908983549,86.69739910173118,0.4208666999984416
nested,269504634,True,-29.92001136144002,12.80423167192883,-40.69632461612214,1606.4496683677037,1636.3696797291439,48,100.0,100.0,35.71166969668199,92.25987764970519,0.4108071000009659
nested,269504634,False,-28.75500996907552,12.531044781054698,-39.301403335664205,1605.9884850184123,1634.7434949874878,48,100.0,100.0,33.90590674034095,91.96495617797777,0.3984186999987287
current,1579642955,True,0.5647145907084147,12.18797122222357,-9.692940784090567,1592.3417615890503,1591.7770469983418,48,100.0,100.0,37.337711123041494,90.62122649991885,0.41414440000153263
current,1579642955,False,15.937353524294766,12.811191223191575,5.155182963493781,1594.2417000857267,1578.3043465614319,44,93.75,97.91666666666667,36.23209839762607,89.33978978734173,0.41390400000091176
nested,1579642955,True,0.01584588720443401,11.435893077983987,-9.608844552096402,1587.5832450542043,1587.567399167,47,97.91666666666667,100.0,35.235764020527405,82.58807860317268,0.4133928000010201
nested,1579642955,False,0.19114620127576462,11.595920737079508,-9.56822691387883,1588.112809363832,1587.9216631625561,47,97.91666666666667,100.0,36.39861394356827,83.38703217345818,0.3827418000000762
current,715424688,True,18.962624715722125,11.93688767742609,8.916286583625459,1600.818500145622,1581.8558754298997,46,95.83333333333333,97.91666666666667,37.22973625724998,79.29412278280275,0.4234550999972271
current,715424688,False,3.0152202606201173,11.020288849451108,-6.2596888351847575,1616.269784757826,1613.254564497206,45,93.75,95.83333333333333,36.99058190188291,78.35474527538858,0.4097784000005049
nested,715424688,True,-25.707582352009226,12.744707678534317,-36.43379894994347,1593.8533802844108,1619.56096263642,47,97.91666666666667,100.0,44.67236017711839,89.85419869674347,0.3873410000014701
nested,715424688,False,-26.087459280135782,12.778133605927067,-36.84180784831563,1593.78037371534,1619.8678329954755,47,97.91666666666667,100.0,44.70890470081426,90.06672065648502,0.4080007000011392
