league,method,tier,period,n,ppg_crps_delta,ppg_crps_relative_delta,contribution_crps_relative_delta,played_crps_relative_delta,abs_played_bias_degradation,abs_extended_absence_calibration_degradation,ppg_80_coverage_delta
dk,rb_dual_role_w050,core_strict,temporal_2023_2025,252,0.001451620312173052,0.0006075009834647371,-0.00014444009367220456,-0.0010261682031149633,-0.0032844856027495727,0.0003189827322087474,-0.003968253968254065
dk,rb_dual_role_w050,depth_main,development_2017_2022,1039,0.00016673478371331818,8.685794127938351e-05,-8.812756235876407e-05,-0.0008112737379112334,0.0007211150207629413,0.00023087486159317772,-0.0009624639076034613
dk,rb_dual_role_w050,depth_main,temporal_2023_2025,528,-9.229757507300818e-05,-4.5732724702318706e-05,0.00012498798303051117,-4.699809789798781e-05,-0.0015093379300871734,-0.0002327699147205986,0.0
beta,rb_dual_role_w100,core_broad,development_2017_2022,936,-0.000473101680880994,-0.0002471615276130601,-0.00017181817996170246,0.0005680484888643811,0.004097088396473825,-0.0008233380928296397,0.0010683760683761756
beta,rb_dual_role_w100,core_broad,temporal_2023_2025,468,-0.00046410527709106475,-0.00023381837785318993,-0.00010425240488287635,-0.0009457667460792685,-0.0037266178151430865,-0.0005133946612711077,0.0
beta,rb_dual_role_w100,core_main,development_2017_2022,720,-0.0003117176536338029,-0.00016129064903958046,-0.00017038349419773446,0.0007285170045576717,0.004240859311921169,-0.0009047505602304967,0.001388888888888884
beta,rb_dual_role_w100,core_main,temporal_2023_2025,360,4.3317522427255284e-05,2.1516208700278483e-05,-0.00011731221962008043,-0.0015538402297115006,0.002768921364245551,0.00044680833206676984,0.0
beta,rb_dual_role_w100,core_main_qb1,development_2017_2022,718,-0.00031258594793315275,-0.0001617983881274654,-0.00017079013228304962,0.0007308938397829756,0.00425267229050591,-0.0009072707567770733,0.001392757660167221
beta,rb_dual_role_w100,core_main_qb1,temporal_2023_2025,358,4.3559519759206466e-05,2.19138092272253e-05,-0.00011769809273087795,-0.0015676251894282123,0.002784390198682641,0.0004493044680000807,0.0
beta,rb_dual_role_w100,core_strict,development_2017_2022,504,-0.00033544413938968454,-0.00017416895960720158,-0.0006410748631120455,0.00036663017310223367,0.0015004960528688244,-0.0005429425317157177,0.0
beta,rb_dual_role_w100,core_strict,temporal_2023_2025,252,0.0007528132239462693,0.00040318733456645717,0.00029699203005839614,-0.0014537172268380694,-0.005340640786625543,0.000489326161265416,0.0
beta,rb_dual_role_w100,depth_main,development_2017_2022,1039,-0.0003471109606738576,-0.00020999657512832393,-0.0003741374244823348,-0.0005878600262023692,0.002855476770672133,0.0005909966412525058,0.0
beta,rb_dual_role_w100,depth_main,temporal_2023_2025,528,0.00032989309012476653,0.00017933048493756765,0.0005537925968657209,-1.7058908083567026e-05,-0.0013164249995264816,-0.00020302851174913705,-0.0018939393939394478
dk,rb_dual_role_w100,core_broad,development_2017_2022,936,0.00038589547341993935,0.00015931011150005503,-0.00011823936451493822,0.0002837952829546353,0.004589211624109232,-0.0008974436932316227,-0.0010683760683760646
dk,rb_dual_role_w100,core_broad,temporal_2023_2025,468,-0.0006343930969356926,-0.0002670619426888843,-8.743224436913444e-05,-9.104077348176531e-05,-0.002186745406699866,0.0002423966665198174,-0.004273504273504258
dk,rb_dual_role_w100,core_main,development_2017_2022,720,0.000366839197738944,0.00014675638637662303,-0.00011192704518436791,0.0005791326011921338,0.00456190096607563,-0.0009080578581376064,0.0
dk,rb_dual_role_w100,core_main,temporal_2023_2025,360,2.299522533899534e-05,9.407625755297744e-06,-6.468530631154046e-05,-8.21208647685534e-05,0.0025420756663786515,0.00031196905342023573,-0.005555555555555647
dk,rb_dual_role_w100,core_main_qb1,development_2017_2022,718,0.0003678610339439281,0.00014739595587376364,-0.00011208920468885886,0.000581038686822577,0.004574608211106515,-0.0009105872672131865,0.0
dk,rb_dual_role_w100,core_main_qb1,temporal_2023_2025,358,2.3123690285231646e-05,9.551372991412066e-06,-6.48412540767973e-05,-8.28616488505185e-05,0.002556277206414319,0.0003137118972941083,-0.005586592178770999
dk,rb_dual_role_w100,core_strict,development_2017_2022,504,0.00017788386711847792,6.741212133820618e-05,-0.0006091512794035303,-9.397859294579813e-05,0.0031420620045868874,-0.0006541971768402322,0.0
dk,rb_dual_role_w100,core_strict,temporal_2023_2025,252,0.0013886438085197739,0.0005811454085367096,0.00045893098725269255,-0.00013275646776633732,-0.0038601041287468912,0.00040787286979239445,-0.003968253968254065
dk,rb_dual_role_w100,depth_main,development_2017_2022,1039,0.00025301085830831127,0.0001318021458065477,-0.00018959662838835545,-0.0008905635631532016,0.0018969216321512716,0.0006176549067126169,-0.0019249278152069227
dk,rb_dual_role_w100,depth_main,temporal_2023_2025,528,-0.00028570659113569263,-0.00014156537555531923,0.0001105850188514168,0.0001339850323336389,-0.0006027720794751432,-0.0002001130755034386,-0.0018939393939394478
beta,rb_passing_down_w050,core_broad,development_2017_2022,936,-0.00036035609199314145,-0.00018826008399674965,-8.26195244731931e-05,0.0001986209990629817,0.0013803318941519316,-0.0004169464267314016,0.00213675213675224
beta,rb_passing_down_w050,core_broad,temporal_2023_2025,468,-6.517189965493664e-05,-3.283390345065751e-05,-0.00023130591227538133,-0.002449293024798349,-0.0041267121151289735,-0.00043458661255849074,0.00213675213675224
beta,rb_passing_down_w050,core_main,development_2017_2022,720,-0.00014732163655994945,-7.62279649590969e-05,-1.1811569776032371e-05,4.958933120158271e-05,0.000802382395785145,-0.0004481636765520519,0.002777777777777768
beta,rb_passing_down_w050,core_main,temporal_2023_2025,360,-0.00021384188275108684,-0.00010621721465897682,-0.0001921626613583527,-0.0018527353905107846,0.003518378002295562,0.0003915092486588695,0.002777777777777768
beta,rb_passing_down_w050,core_main_qb1,development_2017_2022,718,-0.00014773200323592306,-7.646792876159214e-05,-1.1839759326726096e-05,4.975111969574009e-05,0.0008046174442413734,-0.00044941204333910634,0.002785515320334331
beta,rb_passing_down_w050,core_main_qb1,temporal_2023_2025,358,-0.00021503653014010027,-0.00010818001494128371,-0.00019279473876776532,-0.001869172011364939,0.0035380337453251483,0.00039369645116532626,0.0027932960893853886
beta,rb_passing_down_w050,core_strict,development_2017_2022,504,0.00033311938043589784,0.0001729619006642924,-0.00012375037093426133,-0.00014315275870790956,-0.0013600784941501104,-0.0003321957418856575,0.001984126984127088
beta,rb_passing_down_w050,core_strict,temporal_2023_2025,252,-2.935301974704707e-05,-1.5720719850342846e-05,-6.251239611132497e-05,-0.002311533428609569,-0.008110221217152533,0.0007393382003861165,0.0
beta,rb_passing_down_w050,depth_main,development_2017_2022,1039,-0.00022981667940258355,-0.0001390354124463089,-0.00015533898206665508,-0.00016065846965540587,0.0029604998355351464,0.00046551843612241406,0.0
beta,rb_passing_down_w050,depth_main,temporal_2023_2025,528,0.00017040087067488052,9.26302238108967e-05,-0.00034481819474285746,-0.0018404929066072606,-0.0016061121307606669,-7.991033134452374e-05,-0.0018939393939394478
dk,rb_passing_down_w050,core_broad,development_2017_2022,936,0.0003453861038038575,0.00014258653572674085,5.2325216786996975e-05,0.0003443464847741051,0.0026651071248215003,-0.0005664121952035639,0.0010683760683760646
dk,rb_passing_down_w050,core_broad,temporal_2023_2025,468,-0.0002035439162195729,-8.568635748196218e-05,-0.0005775717451708129,-0.001103862848171655,-0.003994704452308009,0.00026569376759306984,-0.0064102564102563875
dk,rb_passing_down_w050,core_main,development_2017_2022,720,0.00034329587359893665,0.00013733772775070818,0.00013426448503239818,0.0003580182556199851,0.002094628240557561,-0.0005385347714306626,0.001388888888888884
dk,rb_passing_down_w050,core_main,temporal_2023_2025,360,-0.00027453013060396714,-0.00011231360811658764,-0.0007165482466260364,-0.0013414833119808067,0.0033963139216174956,0.00023670758068948528,-0.005555555555555647
dk,rb_passing_down_w050,core_main_qb1,development_2017_2022,718,0.00034425212951383344,0.00013793625040192659,0.00013445900694053492,0.0003591965927589591,0.0021004628596120872,-0.0005400348682869927,0.0013927576601671099
dk,rb_passing_down_w050,core_main_qb1,temporal_2023_2025,358,-0.0002760638184842179,-0.00011402974470120508,-0.0007182757502006698,-0.0013535843716365736,0.0034152877424086722,0.00023802996940842924,-0.005586592178770999
dk,rb_passing_down_w050,core_strict,development_2017_2022,504,0.0005113325570347271,0.0001937781820091633,-6.566454839229685e-05,-0.000488790607978018,0.000574189163259714,-0.00043950235080973676,0.001984126984126977
dk,rb_passing_down_w050,core_strict,temporal_2023_2025,252,0.0004925453129374091,0.00020612949508991285,-0.0005121773332559254,-0.0014370669327429253,-0.004623320362724604,0.00035147681677934195,-0.00793650793650802
dk,rb_passing_down_w050,depth_main,development_2017_2022,1039,-9.588019247308566e-05,-4.994732318130968e-05,-3.968309200574893e-05,-0.0005699743097670185,0.0028948000505948646,0.0005072038605160589,-0.0009624639076034613
dk,rb_passing_down_w050,depth_main,temporal_2023_2025,528,-0.0004762471116466216,-0.00023597670935548987,-6.66929387446169e-05,1.0593449093931895e-05,-0.002876709558995383,-0.00017422685020190842,-0.0018939393939394478
beta,rb_scoring_role_w050,core_broad,development_2017_2022,936,-0.0004908910039134184,-0.0002564551666626169,-7.285291233949387e-05,0.00027171557946914504,0.0018384957141460156,-0.00041653947318291695,0.0
beta,rb_scoring_role_w050,core_broad,temporal_2023_2025,468,0.00044726743773004785,0.00022533539677049852,0.00046577847122364346,0.0005906347014099644,-0.0025761207740210915,-0.0004306221031290941,0.0
beta,rb_scoring_role_w050,core_main,development_2017_2022,720,-0.00035347072806790614,-0.00018289475261334953,-9.855384122459121e-05,0.000529906243931455,0.002706273580500629,-0.0004980931593717014,-0.001388888888888884
beta,rb_scoring_role_w050,core_main,temporal_2023_2025,360,0.0014410414552665785,0.0007157784416103041,0.0005282454378952028,-2.204045522591347e-05,0.0015996304348728993,0.0003536916838919879,0.0
beta,rb_scoring_role_w050,core_main_qb1,development_2017_2022,718,-0.0003544553261960459,-0.00018347050090039563,-9.87890503068023e-05,0.0005316350983286533,0.002713811947020167,-0.0004994806054980927,-0.0013927576601671099
beta,rb_scoring_role_w050,core_main_qb1,temporal_2023_2025,358,0.0014490919661902524,0.0007290053948119102,0.000529982986727795,-2.2235988062391243e-05,0.0016085669177492642,0.0003556676150869298,0.0
beta,rb_scoring_role_w050,core_strict,development_2017_2022,504,-0.0007495887573141236,-0.0003892007003973852,-0.00044706359501966997,0.0009584648810974095,0.0022970220169130917,-0.0003453739715084947,-0.003968253968253954
beta,rb_scoring_role_w050,core_strict,temporal_2023_2025,252,0.002562260406544725,0.0013722805483733502,0.0009235956459121564,1.8081957541049576e-05,-0.0021144568551072183,0.0002592306607979711,0.0
beta,rb_scoring_role_w050,depth_main,development_2017_2022,1039,0.00019589036025280393,0.00011851053240685694,0.0001339261049033702,-0.0004744762179805795,-0.0009030469949740938,0.00015982911910561448,0.002887391722810384
beta,rb_scoring_role_w050,depth_main,temporal_2023_2025,528,-0.0003095950552669535,-0.00016829643620097645,0.0002702401038219282,0.000318839295283313,0.003232963029697524,0.00043733588614336405,0.0
dk,rb_scoring_role_w050,core_broad,development_2017_2022,936,0.0007680706813713023,0.00031708437729194294,0.0002459993416707995,5.6784845077650914e-05,0.0032674481193118027,-0.0005960274510755231,0.0
dk,rb_scoring_role_w050,core_broad,temporal_2023_2025,468,0.0003901949600249033,0.00016426128303570486,0.00025968531749054335,0.000539419036208244,0.0008372507542479726,7.976565102287003e-05,-0.002136752136752129
dk,rb_scoring_role_w050,core_main,development_2017_2022,720,0.0006019036098838804,0.00024079542011334887,0.00021261951768547505,0.00018370490572783282,0.0035343827253683097,-0.0005988491159306525,-0.001388888888888884
dk,rb_scoring_role_w050,core_main,temporal_2023_2025,360,0.0008186893732990974,0.000334935758197652,0.00028192298648210823,2.8728621544571453e-05,-0.0011023479652469623,0.00011046752960529316,-0.002777777777777879
dk,rb_scoring_role_w050,core_main_qb1,development_2017_2022,718,0.0006035802216106667,0.00024184481502964594,0.00021292756008595148,0.00018430952940162726,0.003544227802597791,-0.0006005172193176284,-0.0013927576601671099
dk,rb_scoring_role_w050,core_main_qb1,temporal_2023_2025,358,0.0008232630569491306,0.0003400535308151209,0.000282602665720999,2.898777256032936e-05,-0.001108506333767842,0.00011108466664223882,-0.0027932960893854997
dk,rb_scoring_role_w050,core_strict,development_2017_2022,504,0.0003898828366137863,0.00014775274180411913,-6.927620383601063e-05,0.00011192670486548373,0.002923880843052104,-0.0003876279222314871,-0.001984126984126977
dk,rb_scoring_role_w050,core_strict,temporal_2023_2025,252,0.0021786024247338887,0.0009117419372721702,0.0007893879399267778,0.00010539028241285386,0.00045933059506184093,0.00014048632862675992,-0.003968253968254065
dk,rb_scoring_role_w050,depth_main,development_2017_2022,1039,0.0006029767760544757,0.0003141115503375591,7.964468413645953e-05,-0.0006387256992277379,-0.0021817775712949794,8.440452148428257e-06,-0.0019249278152069227
dk,rb_scoring_role_w050,depth_main,temporal_2023_2025,528,0.000534729273447887,0.0002649541619434981,0.00042688922900668835,0.0005444222228032647,0.0008446821626407613,7.73795077019801e-05,0.0
