matcher,season,player,pos,pool_raw_residual_mean,pool_residual_sd,model_residual_sd,pool_zero_active_probability,pool_expected_active_games
beta_scored_ppg_rank_w050,2019,Chase Edmonds,RB,0.7910150456201491,3.6309903533165895,3.7043067861772365,0.0,11.623566889915999
beta_scored_ppg_rank_w050,2019,Chris Carson,RB,-0.7570176301904791,3.668482244351712,4.075197198127905,0.0,12.094894832642666
beta_scored_ppg_rank_w050,2019,Chris Thompson,RB,0.1053998938061246,3.564468214056668,3.206018839301642,0.033956653674964137,12.009199194612194
beta_scored_ppg_rank_w050,2019,Christian Mccaffrey,RB,-0.33681640498054644,5.05585831049743,3.760182464240234,0.0,13.363212596644946
beta_scored_ppg_rank_w050,2019,Cj Prosise,RB,0.8932304113088978,2.6542891638589277,3.5181936866987287,0.04301740919092076,8.811518281172013
beta_scored_ppg_rank_w050,2019,Corey Clement,RB,1.3181269914737017,3.154258837891868,3.634322328231487,0.030670737940198145,9.734736531964593
beta_scored_ppg_rank_w050,2019,Dalvin Cook,RB,-0.4980908409377085,5.244124445667465,4.159957635096105,0.0,12.577095391471715
beta_scored_ppg_rank_w050,2019,Damien Williams,RB,-1.4932723314297174,4.477326959414847,3.420701926139887,0.02063832480093647,11.867437657715541
beta_scored_ppg_rank_w050,2019,Dare Ogunbowale,RB,1.188085743460434,3.205409745825483,3.641834841420236,0.007387847410824217,10.949892405372639
beta_scored_ppg_rank_w050,2019,Darrell Henderson,RB,0.27944024774040666,3.9350153956957548,3.870461028805719,0.0,12.212392647190665
beta_scored_ppg_rank_w050,2019,Darren Sproles,RB,1.1352758488699086,3.1445058322692843,3.104916317275746,0.02587492117298655,10.644975242317578
beta_scored_ppg_rank_w050,2019,Darwin Thompson,RB,1.49432651210059,3.4711554032717533,3.7247332129501,0.0,11.323010066747521
beta_scored_ppg_rank_w050,2019,David Johnson,RB,-0.4602334787194894,4.635813504575182,3.4420401309841546,0.0,13.129502896932713
beta_scored_ppg_rank_w050,2019,David Montgomery,RB,-1.3818302278799122,3.9984819584552467,4.139758309805934,0.0,12.048697065860255
beta_scored_ppg_rank_w050,2019,Deandre Washington,RB,1.270407225742034,2.6628850426290684,3.621857501709428,0.006591447878725333,9.908158336638975
beta_scored_ppg_rank_w050,2019,Derrick Henry,RB,-0.8178659215323673,3.505173134086571,4.031378998141181,0.0,12.724016478500246
beta_scored_ppg_rank_w050,2019,Derrius Guice,RB,-0.9119949440479389,4.314068152978556,3.531480896750633,0.0,11.47095792729428
beta_scored_ppg_rank_w050,2019,Devin Singletary,RB,-0.5809125055321284,4.539129385168761,4.055880925914811,0.0,12.310112828589197
beta_scored_ppg_rank_w050,2019,Devonta Freeman,RB,-0.9057681134410507,4.594305530542122,3.4206720974702547,0.02976646134078934,12.041909186796772
beta_scored_ppg_rank_w050,2019,Devontae Booker,RB,1.3368936637432478,2.883826926634538,3.639836118429978,0.019448993734727686,9.625475116579562
beta_scored_ppg_rank_w050,2019,Dion Lewis,RB,-0.4549601357998088,3.178903819174631,3.227226108078329,0.009008015965288892,12.16459103730519
beta_scored_ppg_rank_w050,2019,Dontrell Hilliard,RB,1.09508648882958,2.96078783421095,2.891259975094265,0.014726732088550222,9.4700766457517
