league,method,tier,period,n,ppg_crps_delta,ppg_crps_relative_delta,contribution_crps_relative_delta,played_crps_relative_delta,abs_played_bias_degradation,abs_extended_absence_calibration_degradation,ppg_80_coverage_delta
dk,usage_air_value_disp_w150,core_main,temporal_2023_2025,360,-0.004425214251552401,-0.001810408854530099,-0.0008234073461010905,0.000679536753130483,0.0035934072289561247,0.0012713844909012645,-0.002777777777777879
dk,usage_air_value_disp_w150,core_main_qb1,development_2017_2022,718,0.001226675982220371,0.000491509190327033,0.00018847219582385222,1.4572360969911102e-05,0.0011586604612219137,-0.00034228542190506417,0.004178272980501441
dk,usage_air_value_disp_w150,core_main_qb1,temporal_2023_2025,358,-0.0044499361188794495,-0.0018380716544414977,-0.0008253924729092477,0.0006856666205050654,0.003613482129676583,0.0012784871975543843,-0.0027932960893854997
dk,usage_air_value_disp_w150,core_strict,development_2017_2022,504,0.0014999187673923053,0.0005684197650002165,0.000656690212764266,-0.0006408703110746261,-7.429536380559876e-05,-0.00032055169714081955,0.003968253968253954
dk,usage_air_value_disp_w150,core_strict,temporal_2023_2025,252,-0.004066180564563648,-0.001701690635769304,-0.0010167210945666305,0.0009722320446619026,-0.00557590955708003,0.001591257749671643,-0.003968253968254065
dk,usage_air_value_disp_w150,depth_main,development_2017_2022,1039,-0.0006145742842444957,-0.0003201530952565701,-0.0005630766198294612,-0.0008320752352415361,-0.014056136970215988,-0.0017892857648145744,-0.0009624639076034613
dk,usage_air_value_disp_w150,depth_main,temporal_2023_2025,528,-7.305812901670095e-05,-3.619973004653776e-05,-0.0002697625608245602,0.0008567148859133233,0.01598588582960081,0.0019236991240570434,-0.0037878787878787845
beta,usage_air_value_w100,core_broad,development_2017_2022,936,-0.00015878001202773717,-8.295111159639657e-05,-0.0002824593212262805,0.0003237667218394247,0.00018726947776115388,-0.0003833009950702654,0.00213675213675224
beta,usage_air_value_w100,core_broad,temporal_2023_2025,468,0.0003632997090647905,0.00018303206802672278,0.0008947647687214122,-0.001031150955568716,-0.0026240762607512083,-0.001429146491392183,-0.0064102564102563875
beta,usage_air_value_w100,core_main,development_2017_2022,720,-0.0005447129507485382,-0.0002818483468687294,-0.0004849623672308345,0.0005613855227826203,0.002074296066221837,-0.0005276766061848293,0.001388888888888884
beta,usage_air_value_w100,core_main,temporal_2023_2025,360,0.0002577710651632259,0.00012803724045573617,0.0007084775699102153,-0.00132228490167563,0.0029311297977177575,0.0013438699607197235,-0.008333333333333304
beta,usage_air_value_w100,core_main_qb1,development_2017_2022,718,-0.0005462302570178323,-0.00028273559869318454,-0.00048611978080181917,0.0005632170804223957,0.0020800740496931813,-0.000529146457455526,0.001392757660167221
