league,scope,period,method,n,ppg_crps_delta,ppg_crps_relative_delta
dk,wr_all_saved,temporal_2023_2025,usage_air_value_disp_w150,360,-0.0030254007146042206,-0.001445489488188234
dk,wr_all_saved,temporal_2023_2025,usage_air_value_w100,360,-0.003445882904395514,-0.0016463893499419902
dk,wr_all_saved,temporal_2023_2025,usage_depth_w100,360,-0.004708063246803285,-0.002249439520565999
dk,te_all_saved,all_2017_2025,usage_air_value_disp_w100,423,-0.0023193097359666126,-0.0013286449002751777
dk,te_all_saved,all_2017_2025,usage_air_value_disp_w150,423,-0.0018671887430470324,-0.0010696418692291987
dk,te_all_saved,all_2017_2025,usage_air_value_w100,423,-0.001878310820599749,-0.0010760132871522332
dk,te_all_saved,all_2017_2025,usage_depth_w100,423,-0.0018261056079780236,-0.0010461068936929996
dk,te_all_saved,development_2017_2022,usage_air_value_disp_w100,280,-0.0015750059517245507,-0.0009263196815824104
dk,te_all_saved,development_2017_2022,usage_air_value_disp_w150,280,-0.0008832616888816425,-0.0005194791076839067
dk,te_all_saved,development_2017_2022,usage_air_value_w100,280,-0.0011629594201600923,-0.0006839797643916068
dk,te_all_saved,development_2017_2022,usage_depth_w100,280,-0.002275954491393284,-0.0013385736336138931
dk,te_all_saved,recent_2020_2025,usage_air_value_disp_w100,285,-0.0021594280552008627,-0.0012212045980710684
dk,te_all_saved,recent_2020_2025,usage_air_value_disp_w150,285,-0.002037020496980624,-0.0011519804011467238
dk,te_all_saved,recent_2020_2025,usage_air_value_w100,285,-0.002061603059682948,-0.0011658823871527613
dk,te_all_saved,recent_2020_2025,usage_depth_w100,285,-0.0011272698424191763,-0.0006374961701148818
dk,te_all_saved,temporal_2023_2025,usage_air_value_disp_w100,143,-0.0037766877750426975,-0.002058822175076358
dk,te_all_saved,temporal_2023_2025,usage_air_value_disp_w150,143,-0.0037937591987564634,-0.002068128484677745
dk,te_all_saved,temporal_2023_2025,usage_air_value_w100,143,-0.003278998877405126,-0.0017875122337259741
dk,te_all_saved,temporal_2023_2025,usage_depth_w100,143,-0.0009452826194746855,-0.0005153110171165487
beta,wr_core_main,all_2017_2025,usage_air_value_disp_w100,432,0.00021608147775120656,0.00012323297117378118
beta,wr_core_main,all_2017_2025,usage_air_value_disp_w150,432,0.0010971010053346664,0.0006256853570802967
beta,wr_core_main,all_2017_2025,usage_air_value_w100,432,-0.00024352976888986078,-0.00013888694811747815
beta,wr_core_main,all_2017_2025,usage_depth_w100,432,0.0015278485685934484,0.0008713440900671721
beta,wr_core_main,development_2017_2022,usage_air_value_disp_w100,288,0.0003012468110923372,0.00017190891422580457
beta,wr_core_main,development_2017_2022,usage_air_value_disp_w150,288,0.0004827695675031496,0.00027549633428436415
beta,wr_core_main,development_2017_2022,usage_air_value_w100,288,-0.0011120378289906085,-0.000634593325873567
beta,wr_core_main,development_2017_2022,usage_depth_w100,288,0.0011910648618027597,0.0006796907373811667
beta,wr_core_main,recent_2020_2025,usage_air_value_disp_w100,288,-0.0004362846493803918,-0.00024880374359959045
beta,wr_core_main,recent_2020_2025,usage_air_value_disp_w150,288,0.0003077774282536083,0.00017551884177846588
beta,wr_core_main,recent_2020_2025,usage_air_value_w100,288,-0.0010604700052800897,-0.0006047632151704452
beta,wr_core_main,recent_2020_2025,usage_depth_w100,288,-8.113612906357481e-05,-4.627018777958458e-05
beta,wr_core_main,temporal_2023_2025,usage_air_value_disp_w100,144,4.575081106872325e-05,2.606006800598415e-05
beta,wr_core_main,temporal_2023_2025,usage_air_value_disp_w150,144,0.0023257638809965897,0.001324775746889717
beta,wr_core_main,temporal_2023_2025,usage_air_value_w100,144,0.0014934863513107466,0.0008507030798325932
beta,wr_core_main,temporal_2023_2025,usage_depth_w100,144,0.0022014159821739376,0.001253946080179702
beta,te_core_main,all_2017_2025,usage_air_value_disp_w100,162,-0.0017052811086442077,-0.001092882935370576
beta,te_core_main,all_2017_2025,usage_air_value_disp_w150,162,-0.0011331527376632344,-0.0007262165069928939
beta,te_core_main,all_2017_2025,usage_air_value_w100,162,-0.0011987091414786821,-0.0007682303865058637
beta,te_core_main,all_2017_2025,usage_depth_w100,162,-0.0011280152455370729,-0.0007229239838735246
beta,te_core_main,development_2017_2022,usage_air_value_disp_w100,108,-0.0011187034610222746,-0.0007360723941468583
beta,te_core_main,development_2017_2022,usage_air_value_disp_w150,108,-0.0007828999718200169,-0.0005151240491456655
beta,te_core_main,development_2017_2022,usage_air_value_w100,108,-0.0006659854610147065,-0.00043819790483901055
beta,te_core_main,development_2017_2022,usage_depth_w100,108,-0.0015442122983213569,-0.0010160440930948589
beta,te_core_main,recent_2020_2025,usage_air_value_disp_w100,108,-0.0013490149856554279,-0.000905956806935726
beta,te_core_main,recent_2020_2025,usage_air_value_disp_w150,108,-0.0006110705673849637,-0.0004103761232656655
beta,te_core_main,recent_2020_2025,usage_air_value_w100,108,-0.0011605935908391984,-0.0007794188166085902
beta,te_core_main,recent_2020_2025,usage_depth_w100,108,-0.0005585898382898247,-0.0003751316862042886
beta,te_core_main,temporal_2023_2025,usage_air_value_disp_w100,54,-0.002878436403888296,-0.0017536500404905508
beta,te_core_main,temporal_2023_2025,usage_air_value_disp_w150,54,-0.0018336582693485592,-0.0011171325147031341
beta,te_core_main,temporal_2023_2025,usage_air_value_w100,54,-0.0022641565024066335,-0.0013794079788452818
beta,te_core_main,temporal_2023_2025,usage_depth_w100,54,-0.0002956211399682829,-0.00018010334477946977
beta,wr_all_saved,all_2017_2025,usage_air_value_disp_w100,1077,0.00027715213699108787,0.00017262704172327226
beta,wr_all_saved,all_2017_2025,usage_air_value_disp_w150,1077,0.001145446001147743,0.000713452751180732
beta,wr_all_saved,all_2017_2025,usage_air_value_w100,1077,0.0005313498666204008,0.0003309566961691157
beta,wr_all_saved,all_2017_2025,usage_depth_w100,1077,0.000627317786630055,0.00039073129618283353
beta,wr_all_saved,development_2017_2022,usage_air_value_disp_w100,717,0.0004546475520315063,0.00028694066831569387
beta,wr_all_saved,development_2017_2022,usage_air_value_disp_w150,717,0.0008549245648019621,0.0005395665827025997
beta,wr_all_saved,development_2017_2022,usage_air_value_w100,717,0.00038898855791824616,0.000245501457728059
beta,wr_all_saved,development_2017_2022,usage_depth_w100,717,0.0003072052890329413,0.0001938857705299224
beta,wr_all_saved,recent_2020_2025,usage_air_value_disp_w100,718,-0.0003240261437400527,-0.00020560633345756418
beta,wr_all_saved,recent_2020_2025,usage_air_value_disp_w150,718,0.0005445708876961053,0.0003455499677729179
beta,wr_all_saved,recent_2020_2025,usage_air_value_w100,718,7.230121212398188e-06,4.587773985598176e-06
beta,wr_all_saved,recent_2020_2025,usage_depth_w100,718,-0.00013619264438280432,-8.641916955287599e-05
beta,wr_all_saved,temporal_2023_2025,usage_air_value_disp_w100,360,-7.635956463203364e-05,-4.635201451874682e-05
beta,wr_all_saved,temporal_2023_2025,usage_air_value_disp_w150,360,0.00172406786186996,0.0010465489025490715
beta,wr_all_saved,temporal_2023_2025,usage_air_value_w100,360,0.0008148861397854201,0.0004946546560933296
beta,wr_all_saved,temporal_2023_2025,usage_depth_w100,360,0.0012648751776778155,0.0007678083666755597
beta,te_all_saved,all_2017_2025,usage_air_value_disp_w100,423,-0.001019421192351322,-0.000774334040515523
beta,te_all_saved,all_2017_2025,usage_air_value_disp_w150,423,-0.00046559021952718993,-0.00035365397405506815
beta,te_all_saved,all_2017_2025,usage_air_value_w100,423,-0.0006723447122529702,-0.0005107009757735481
beta,te_all_saved,all_2017_2025,usage_depth_w100,423,-0.0010262297927237096,-0.0007795057311534848
beta,te_all_saved,development_2017_2022,usage_air_value_disp_w100,280,-0.0006815290194377432,-0.000530919463297308
beta,te_all_saved,development_2017_2022,usage_air_value_disp_w150,280,-0.00014844668899982594,-0.000115641791037846
beta,te_all_saved,development_2017_2022,usage_air_value_w100,280,-0.00029272905536936733,-0.00022803952368233293
beta,te_all_saved,development_2017_2022,usage_depth_w100,280,-0.001668101831584945,-0.0012994717816726675
beta,te_all_saved,recent_2020_2025,usage_air_value_disp_w100,285,-0.0006862911313307851,-0.0005155755591415012
beta,te_all_saved,recent_2020_2025,usage_air_value_disp_w150,285,0.00011861775876842451,8.91114783643232e-05
beta,te_all_saved,recent_2020_2025,usage_air_value_w100,285,-0.0004569892593371261,-0.0003433127460754637
beta,te_all_saved,recent_2020_2025,usage_depth_w100,285,-0.0002847047470488917,-0.00021388417021406259
beta,te_all_saved,temporal_2023_2025,usage_air_value_disp_w100,143,-0.0016810282442101254,-0.0012174227531550619
beta,te_all_saved,temporal_2023_2025,usage_air_value_disp_w150,143,-0.0010865705590212826,-0.0007869086828355965
beta,te_all_saved,temporal_2023_2025,usage_air_value_w100,143,-0.0014156480963611884,-0.00102523096141105
beta,te_all_saved,temporal_2023_2025,usage_depth_w100,143,0.00023058259106067958,0.00016699094367123024
