period,chance_level,paired_rosters,roster_changed_rate,v1_actual_cap_feasible_rate,v2_actual_cap_feasible_rate,v2_only_feasible_rosters,v1_only_feasible_rosters,v1_mean_managed_forecast_season_points,v2_mean_managed_forecast_season_points,mean_managed_forecast_season_points_effect_v2_minus_v1,v1_mean_heldout_cap_probability,v2_mean_heldout_cap_probability,mean_heldout_cap_probability_effect_v2_minus_v1,v1_mean_heldout_salary_spend_mean,v2_mean_heldout_salary_spend_mean,mean_heldout_salary_spend_mean_effect_v2_minus_v1,v1_mean_heldout_salary_spend_p90,v2_mean_heldout_salary_spend_p90,mean_heldout_salary_spend_p90_effect_v2_minus_v1,v1_mean_heldout_salary_spend_p95,v2_mean_heldout_salary_spend_p95,mean_heldout_salary_spend_p95_effect_v2_minus_v1,v1_mean_actual_cap_overage,v2_mean_actual_cap_overage,mean_actual_cap_overage_effect_v2_minus_v1,v1_mean_actual_salary_spend,v2_mean_actual_salary_spend,mean_actual_salary_spend_effect_v2_minus_v1,v1_mean_raw_actual_points_audit_only,v2_mean_raw_actual_points_audit_only,mean_raw_actual_points_audit_only_effect_v2_minus_v1,mean_actual_cap_feasible_effect_v2_minus_v1
temporal_check_2025,all,1000,0.801,0.12,0.132,41,29,1629.7637180175782,1627.9777536621093,-1.78596435546875,0.716425,0.71213,-0.004294999999999999,292.56411295906724,292.66823167580606,0.10411871673882127,303.59806139874456,303.7954492067456,0.19738780800104036,306.61399117235544,306.9018520113468,0.2878608389914017,27.098,26.642,-0.456,323.976,323.418,-0.558,1579.383319946289,1584.0840577392578,4.70073779296875,0.012
temporal_check_2025,0.6,250,0.784,0.084,0.108,10,4,1634.12126171875,1632.4664233398437,-1.65483837890625,0.58306,0.58376,0.0007000000000000011,296.12310093271253,296.0824188470936,-0.04068208561897018,307.2113564947605,307.2201855597973,0.00882906503677259,310.24044701402187,310.34578355662825,0.10533654260635081,30.076,29.136,-0.94,327.276,326.216,-1.06,1579.8249575195312,1585.7281572265624,5.90319970703125,0.024
temporal_check_2025,0.7,250,0.82,0.128,0.124,10,11,1632.0193715820312,1628.5298666992187,-3.4895048828125,0.67338,0.6728,-0.0005799999999999965,293.9233866309094,293.9408738879443,0.01748725703477885,304.975680033636,305.0829873149395,0.10730728130340435,307.97042396695616,308.17725218887324,0.20682822191714945,27.972,27.516,-0.456,324.852,324.524,-0.328,1580.5927192382812,1585.4883134765626,4.89559423828125,-0.004
temporal_check_2025,0.8,250,0.836,0.12,0.144,12,6,1627.7299951171874,1627.7368510742187,0.00685595703125,0.76678,0.754,-0.012780000000000001,291.4193139527893,291.7376911011839,0.31837714839458725,302.4487515867233,302.8565248652458,0.40777327852249234,305.4709775407791,305.98877424423694,0.5177967034578312,25.888,26.472,0.584,322.624,323.364,0.74,1578.3776015625,1585.1035146484376,6.7259130859375,0.024
temporal_check_2025,0.9,250,0.764,0.148,0.152,9,8,1625.1842436523436,1623.1778735351563,-2.0063701171875,0.84248,0.83796,-0.004520000000000002,288.7906503198576,288.91194286700244,0.12129254714488912,299.7564574798584,300.0220990869999,0.26564160714149215,302.77411616766454,303.0955980556488,0.3214818879842753,24.456,23.444,-1.012,321.152,319.568,-1.584,1578.7380014648438,1580.0162456054688,1.278244140625,0.004
2022,all,1000,0.828,0.248,0.279,94,63,1564.1142259521484,1562.874100463867,-1.24012548828125,0.75973,0.7348250000000001,-0.024905,292.33650199537396,292.4305839897287,0.09408199435472495,301.39756880738736,302.76711754696373,1.3695487395763397,303.956485289532,305.7767403607189,1.8202550711870182,17.822,16.138,-1.684,312.702,310.52,-2.182,1488.5381375732422,1483.9332796630858,-4.60485791015625,0.031
2022,0.6,250,0.82,0.188,0.22,22,14,1566.3875,1564.8378623046874,-1.5496376953125,0.6401199999999999,0.6083000000000001,-0.031819999999999994,295.24901359035727,295.76304129825354,0.5140277078962342,304.30923814301497,306.1122511068344,1.8030129638195032,306.86952927401063,309.10151837618355,2.231989102172853,19.544,19.196,-0.348,315.3,314.54,-0.76,1495.5962358398438,1487.9894409179688,-7.606794921875,0.032
2022,0.7,250,0.832,0.244,0.244,19,19,1565.32818359375,1564.5214155273438,-0.80676806640625,0.72066,0.6925600000000001,-0.0281,293.5235797184586,293.8027848822546,0.27920516379594823,302.6497570098877,304.13755823011394,1.4878012202262867,305.1116437871456,307.21411155281066,2.1024677656650512,18.62,17.364,-1.256,313.656,312.32,-1.336,1493.8048764648438,1485.9896000976562,-7.8152763671875,0.0
2022,0.8,250,0.816,0.28,0.308,24,17,1563.3845087890625,1562.4980893554687,-0.88641943359375,0.80496,0.7781199999999999,-0.026839999999999996,291.4571085040426,291.4573930911374,0.00028458709478218226,300.51216293416024,301.78308311367033,1.2709201795101173,303.13653070299625,304.78425710659025,1.6477264035940151,17.152,14.756,-2.396,311.784,308.836,-2.948,1485.2574370117188,1483.515837890625,-1.74159912109375,0.028
2022,0.9,250,0.844,0.28,0.344,29,13,1561.3567114257812,1559.6390346679686,-1.7176767578125,0.8731800000000001,0.8603200000000001,-0.01286,289.1163061686373,288.6991166872692,-0.4171894813680649,298.11911714248663,299.03557773723605,0.916460594749452,300.70823739397525,302.00707440729144,1.298837013316154,15.972,13.236,-2.736,310.068,306.384,-3.684,1479.4940009765626,1478.2382397460938,-1.25576123046875,0.064
2023,all,1000,0.811,0.097,0.079,15,33,1525.680065673828,1529.8820435791015,4.201977905273438,0.7472749999999999,0.743705,-0.003570000000000001,292.310768285942,292.4186142670608,0.10784598111868048,302.08157544250486,302.2485922881603,0.16701684565544075,304.8863035300374,305.03903432228566,0.1527307922482491,28.368,32.973,4.605,325.676,330.425,4.749,1693.4246000976561,1704.4133411865234,10.988741088867188,-0.018
2023,0.6,250,0.8,0.08,0.056,5,11,1527.9041416015625,1533.0729169921874,5.168775390625,0.6180399999999999,0.62246,0.004420000000000002,295.5610983206582,295.5296312491393,-0.03146707151889654,305.4145559197903,305.43026039242744,0.01570447263717756,308.2498071083784,308.26928453166494,0.019477423286440625,31.808,35.74,3.932,329.308,333.44,4.132,1695.5512021484376,1706.0076796875,10.4564775390625,-0.024
2023,0.7,250,0.828,0.1,0.072,1,8,1526.5163530273437,1531.0288427734374,4.51248974609375,0.71356,0.7001400000000001,-0.013420000000000007,293.47398941238407,293.7817614515781,0.3077720391941068,303.25880900940894,303.61313330330853,0.35432429389953657,306.0279128500938,306.3964897392511,0.36857688915729725,29.092,34.916,5.824,326.392,332.496,6.104,1692.089837890625,1704.680083984375,12.590246093749998,-0.028
2023,0.8,250,0.816,0.096,0.088,4,6,1525.3447749023437,1528.610505859375,3.26573095703125,0.7849400000000001,0.7824000000000001,-0.002540000000000003,291.59027179877285,291.6328133521485,0.0425415533757216,301.2996491790771,301.4283823741436,0.1287331950664502,304.11722856705194,304.23526715080743,0.11803858375549203,27.772,31.988,4.216,325.028,329.328,4.3,1695.45519921875,1707.2123237304688,11.75712451171875,-0.008
2023,0.9,250,0.8,0.112,0.1,5,8,1522.9549931640624,1526.8159086914063,3.86091552734375,0.8725599999999999,0.8698199999999999,-0.002739999999999999,288.61771361195326,288.730251015377,0.11253740342379001,298.3532876617432,298.5225930827617,0.16930542101859875,301.1502655946255,301.25509586741924,0.10483027279376643,24.8,29.248,4.448,321.976,326.436,4.46,1690.6021611328124,1699.75327734375,9.151116210937499,-0.012
2024,all,1000,0.733,0.12,0.107,25,38,1639.6845147705078,1642.960755126953,3.2762403564453124,0.744165,0.742115,-0.002049999999999997,292.3628152597922,292.38404590537306,0.021230645580888906,302.1996817627311,302.3506069494367,0.15092518670559174,304.9431966443897,305.1615446780085,0.2183480336189245,29.618,29.977,0.359,326.157,326.786,0.629,1584.4028205566406,1586.5982574462892,2.195436889648438,-0.013
