variant,method,slice_type,slice_value,n_rows,n_seasons,rmse
rank_gap,lasso,history_depth,second_year,558,9,2.9793054904104497
rank_gap,lasso,history_depth,veteran_with_history,2523,9,2.8639012311983687
rank_gap,lightgbm,pooled,all,3622,9,2.9100779645342847
rank_gap,lightgbm,recent,2023_2025,1226,3,2.912812174623402
rank_gap,lightgbm,season,2017,402,1,2.915001709668168
rank_gap,lightgbm,season,2018,365,1,3.049037201706061
rank_gap,lightgbm,season,2019,385,1,2.9418462795392792
rank_gap,lightgbm,season,2020,409,1,3.1019600743133036
rank_gap,lightgbm,season,2021,413,1,2.8126728584266774
rank_gap,lightgbm,season,2022,422,1,2.6337461238556137
rank_gap,lightgbm,season,2023,404,1,2.9761991660486973
rank_gap,lightgbm,season,2024,406,1,3.00445998408932
rank_gap,lightgbm,season,2025,416,1,2.7554830949332447
rank_gap,lightgbm,position,QB,306,8,4.032427736460476
rank_gap,lightgbm,position,RB,1011,9,3.313790498955641
rank_gap,lightgbm,position,TE,802,9,2.0456666368862577
rank_gap,lightgbm,position,WR,1503,9,2.734567779439327
rank_gap,lightgbm,history_depth,other_no_history,23,7,2.2989609741465693
rank_gap,lightgbm,history_depth,rookie,518,9,3.2349903548259653
rank_gap,lightgbm,history_depth,second_year,558,9,2.9574717195830194
rank_gap,lightgbm,history_depth,veteran_with_history,2523,9,2.833045112560931
rank_gap,random_forest,pooled,all,3622,9,2.8956202315524706
rank_gap,random_forest,recent,2023_2025,1226,3,2.9027935452825275
rank_gap,random_forest,season,2017,402,1,2.876971819617542
rank_gap,random_forest,season,2018,365,1,3.0136261786208602
rank_gap,random_forest,season,2019,385,1,2.9306844107121517
rank_gap,random_forest,season,2020,409,1,3.1067373708796286
rank_gap,random_forest,season,2021,413,1,2.776501803176395
rank_gap,random_forest,season,2022,422,1,2.6476189720376078
rank_gap,random_forest,season,2023,404,1,2.9722435254815998
rank_gap,random_forest,season,2024,406,1,2.9969314978059556
rank_gap,random_forest,season,2025,416,1,2.7364067020055076
rank_gap,random_forest,position,QB,306,8,4.0086280247707
rank_gap,random_forest,position,RB,1011,9,3.2961149534934697
rank_gap,random_forest,position,TE,802,9,2.0565406877370633
rank_gap,random_forest,position,WR,1503,9,2.714651674632515
rank_gap,random_forest,history_depth,other_no_history,23,7,2.1991467269037037
rank_gap,random_forest,history_depth,rookie,518,9,3.2236398887475843
rank_gap,random_forest,history_depth,second_year,558,9,2.940502156456462
rank_gap,random_forest,history_depth,veteran_with_history,2523,9,2.8190289924122536
rank_gap,random_forest_full_columns,pooled,all,3622,9,2.9065438239336676
rank_gap,random_forest_full_columns,recent,2023_2025,1226,3,2.9167778026233715
rank_gap,random_forest_full_columns,season,2017,402,1,2.8859015403823958
rank_gap,random_forest_full_columns,season,2018,365,1,3.004840311965461
rank_gap,random_forest_full_columns,season,2019,385,1,2.931505401484634
rank_gap,random_forest_full_columns,season,2020,409,1,3.113531185906391
rank_gap,random_forest_full_columns,season,2021,413,1,2.8127075029955226
rank_gap,random_forest_full_columns,season,2022,422,1,2.659090673435921
rank_gap,random_forest_full_columns,season,2023,404,1,2.9718013978937723
rank_gap,random_forest_full_columns,season,2024,406,1,3.0083250931024597
rank_gap,random_forest_full_columns,season,2025,416,1,2.768310028523695
rank_gap,random_forest_full_columns,position,QB,306,8,4.087816444976465
rank_gap,random_forest_full_columns,position,RB,1011,9,3.3137880669909108
rank_gap,random_forest_full_columns,position,TE,802,9,2.0391710397522176
