year,player,player_key,pos,target_feature_match,pool_size,min_donor_season,max_donor_season,zero_active_share,mean_distance,max_donor_is_causal
2022,Derek Carr,derekcarr,QB,True,80,2009,2021,0.0125,1.0621422847258681,True
2022,Dernest Johnson,dernestjohnson,RB,False,80,2008,2021,0.0,1.4361307860820212,True
2022,Derrick Gore,derrickgore,RB,False,80,2008,2021,0.0,1.6249040133673283,True
2022,Derrick Henry,derrickhenry,RB,True,80,2008,2021,0.0,1.315924329157637,True
2022,Desmond Ridder,desmondridder,QB,False,80,2008,2021,0.275,4.038202628185678,True
2022,Devante Parker,devanteparker,WR,True,80,2008,2021,0.0,0.7173795153365947,True
2022,Devin Duvernay,devinduvernay,WR,True,80,2008,2021,0.0,0.40130373222682636,True
2022,Devin Singletary,devinsingletary,RB,True,80,2008,2021,0.0,0.7828653537793343,True
2022,Devonta Smith,devontasmith,WR,True,80,2008,2021,0.0,0.39013064046223145,True
2022,Diontae Johnson,diontaejohnson,WR,True,80,2008,2021,0.0,0.5778546260586441,True
2022,Dj Chark,djchark,WR,True,80,2008,2021,0.0,0.5183051347619049,True
2022,Dj Moore,djmoore,WR,True,80,2008,2021,0.0,0.5316708638272682,True
2022,Dk Metcalf,dkmetcalf,WR,True,80,2008,2021,0.0,0.5661812648429997,True
2022,Donald Parham,donaldparham,TE,True,80,2008,2021,0.0,0.5962538539564474,True
2022,Donovan Peoples Jones,donovanpeoplesjones,WR,True,80,2008,2021,0.0,0.5568715699877697,True
2022,Donta Foreman,dontaforeman,RB,True,80,2008,2021,0.0,1.234379882560911,True
2022,Dontrell Hilliard,dontrellhilliard,RB,True,80,2008,2021,0.0,0.9453465063095621,True
2022,Drake London,drakelondon,WR,True,80,2008,2021,0.0,0.5854225661724051,True
2022,Elijah Mitchell,elijahmitchell,RB,True,80,2008,2021,0.0,0.8183097367387588,True
2022,Elijah Moore,elijahmoore,WR,True,80,2008,2021,0.0,0.4246849792985358,True
2022,Eno Benjamin,enobenjamin,RB,True,80,2008,2021,0.0,0.6189784860391202,True
2022,Evan Engram,evanengram,TE,True,80,2008,2021,0.0,0.7665604131667243,True
2022,Ezekiel Elliott,ezekielelliott,RB,True,80,2008,2021,0.0,0.9460144201504207,True
2022,Foster Moreau,fostermoreau,TE,True,80,2008,2021,0.0,0.677623687246687,True
2022,Gabriel Davis,gabrieldavis,WR,True,80,2008,2021,0.0,0.6437372385993587,True
2022,Garrett Wilson,garrettwilson,WR,True,80,2008,2021,0.0,0.6024985638355689,True
2022,George Kittle,georgekittle,TE,True,80,2008,2021,0.0,0.7858275409570086,True
2022,George Pickens,georgepickens,WR,True,80,2008,2021,0.0,1.0554365214589159,True
2022,Gerald Everett,geraldeverett,TE,True,80,2008,2021,0.0,0.8850391062970033,True
2022,Greg Dulcich,gregdulcich,TE,True,80,2008,2021,0.0,0.7344782040302487,True
2022,Gus Edwards,gusedwards,RB,True,80,2008,2021,0.0,0.9147627004525265,True
2022,Harrison Bryant,harrisonbryant,TE,True,80,2008,2021,0.0,0.666997178461677,True
2022,Hassan Haskins,hassanhaskins,RB,True,80,2008,2021,0.0,0.5991569338208651,True
2022,Hayden Hurst,haydenhurst,TE,True,80,2008,2021,0.0,0.7496312540568936,True
2022,Hunter Henry,hunterhenry,TE,True,80,2008,2021,0.0,0.8138518804100979,True
2022,Hunter Renfrow,hunterrenfrow,WR,True,80,2008,2021,0.0,0.44473636085756707,True
2022,Isaiah Likely,isaiahlikely,TE,True,80,2008,2021,0.0,0.9464775908753513,True
2022,Isaiah Mckenzie,isaiahmckenzie,WR,True,80,2008,2021,0.0,0.574625905502025,True
2022,Isaiah Spiller,isaiahspiller,RB,True,80,2008,2021,0.0,0.6754029609122701,True
