year,trial,order_regime,price_rule,policy_mode,complete_5,clean_policy_path_5,actual_points_5,failure_penalized_points_5,actual_ppg_5,final_forecast_ev_5,paid_spend_5,unused_personal_budget_5,events_seen_5,forced_buys_5,nominal_relaxation_events_5,top_n_relaxation_events_5,generic_repair_buys_5,synthetic_contract_fill_buys_5,synthetic_contract_fill_events_seen_5,complete_10,clean_policy_path_10,actual_points_10,failure_penalized_points_10,actual_ppg_10,final_forecast_ev_10,paid_spend_10,unused_personal_budget_10,events_seen_10,forced_buys_10,nominal_relaxation_events_10,top_n_relaxation_events_10,generic_repair_buys_10,synthetic_contract_fill_buys_10,synthetic_contract_fill_events_seen_10,paired_complete,paired_clean,actual_points_diff_5_minus_10,failure_penalized_points_diff_5_minus_10,actual_ppg_diff_5_minus_10,final_forecast_ev_diff_5_minus_10,paid_spend_diff_5_minus_10,unused_personal_budget_diff_5_minus_10,events_seen_diff_5_minus_10,forced_buys_diff_5_minus_10,nominal_relaxation_events_diff_5_minus_10,top_n_relaxation_events_diff_5_minus_10,generic_repair_buys_diff_5_minus_10,synthetic_contract_fill_buys_diff_5_minus_10,synthetic_contract_fill_events_seen_diff_5_minus_10,points_win_5
2022,1,tier_early,clearing,strict,True,True,1587.3599853515625,1587.3599853515625,99.20999908447266,1599.7916259765625,297.0,1.0,99,0,0,0,0,0,0,True,True,1583.06005859375,1583.06005859375,98.94125366210938,1598.8111572265625,295.0,3.0,97,0,0,0,0,0,0,True,True,4.2999267578125,4.2999267578125,0.26874542236328125,0.98046875,2.0,-2.0,2,0,0,0,0,0,0,True
2022,1,tier_early,plus_one,operational,False,False,,0.0,,,296.0,2.0,113,0,0,0,0,0,0,False,False,,0.0,,,294.0,4.0,117,0,0,0,0,0,0,False,False,,0.0,,,2.0,-2.0,-4,0,0,0,0,0,0,False
2022,1,tier_early,plus_one,strict,False,False,,0.0,,,296.0,2.0,113,0,0,0,0,0,0,False,False,,0.0,,,294.0,4.0,117,0,0,0,0,0,0,False,False,,0.0,,,2.0,-2.0,-4,0,0,0,0,0,0,False
2022,1,uniform,clearing,operational,True,True,1703.39990234375,1703.39990234375,106.46249389648438,1572.715087890625,295.0,3.0,126,0,0,0,0,0,0,True,True,1633.3399658203125,1633.3399658203125,102.08374786376953,1554.9210205078125,288.0,10.0,123,0,0,0,0,0,0,True,True,70.0599365234375,70.0599365234375,4.378746032714844,17.7940673828125,7.0,-7.0,3,0,0,0,0,0,0,True
2022,1,uniform,clearing,strict,True,True,1703.39990234375,1703.39990234375,106.46249389648438,1572.715087890625,295.0,3.0,126,0,0,0,0,0,0,True,True,1633.3399658203125,1633.3399658203125,102.08374786376953,1554.9210205078125,288.0,10.0,123,0,0,0,0,0,0,True,True,70.0599365234375,70.0599365234375,4.378746032714844,17.7940673828125,7.0,-7.0,3,0,0,0,0,0,0,True
2022,1,uniform,plus_one,operational,True,True,1562.659912109375,1562.659912109375,97.66624450683594,1550.161865234375,297.0,1.0,102,0,0,0,0,0,0,True,True,1464.4599609375,1464.4599609375,91.52874755859375,1542.7435302734375,288.0,10.0,124,0,0,0,0,0,0,True,True,98.199951171875,98.199951171875,6.1374969482421875,7.4183349609375,9.0,-9.0,-22,0,0,0,0,0,0,True
2022,1,uniform,plus_one,strict,True,True,1562.659912109375,1562.659912109375,97.66624450683594,1550.161865234375,297.0,1.0,102,0,0,0,0,0,0,True,True,1464.4599609375,1464.4599609375,91.52874755859375,1542.7435302734375,288.0,10.0,124,0,0,0,0,0,0,True,True,98.199951171875,98.199951171875,6.1374969482421875,7.4183349609375,9.0,-9.0,-22,0,0,0,0,0,0,True
2022,2,position_run,clearing,operational,True,True,1473.9600830078125,1473.9600830078125,92.12250518798828,1616.1405029296875,294.0,4.0,113,0,0,0,0,0,0,True,True,1555.60009765625,1555.60009765625,97.22500610351562,1607.0728759765625,295.0,3.0,106,0,0,0,0,0,0,True,True,-81.6400146484375,-81.6400146484375,-5.102500915527344,9.067626953125,-1.0,1.0,7,0,0,0,0,0,0,False
2022,2,position_run,clearing,strict,True,True,1473.9600830078125,1473.9600830078125,92.12250518798828,1616.1405029296875,294.0,4.0,113,0,0,0,0,0,0,True,True,1555.60009765625,1555.60009765625,97.22500610351562,1607.0728759765625,295.0,3.0,106,0,0,0,0,0,0,True,True,-81.6400146484375,-81.6400146484375,-5.102500915527344,9.067626953125,-1.0,1.0,7,0,0,0,0,0,0,False
2022,2,position_run,plus_one,operational,True,True,1438.06005859375,1438.06005859375,89.87875366210938,1602.0267333984375,297.0,1.0,111,0,0,0,0,0,0,True,True,1542.0,1542.0,96.375,1605.190185546875,298.0,0.0,107,0,0,0,0,0,0,True,True,-103.93994140625,-103.93994140625,-6.496246337890625,-3.1634521484375,-1.0,1.0,4,0,0,0,0,0,0,False
