"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"432","Charlie Jones","CIN","wr","6","17","8.8","0","0","0","0","0","0","0","0","0","0","5.1452","3.2269","40.3186","0.2482","0.0348","0.0192","0.0138","1004.3385","0.4391","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"433","Mason Tipton","NO","wr","8","6","8.8","0","0","0","0","0","0","0","1.0291","5.7826","0.0308","5.0164","3.293","36.2605","0.1892","0.0494","0.0257","0.0125","195.1841","0.0499","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"434","Elijah Moore","PHI","wr","10","17","8.7","0","0","0","0","0","0","0","0","0","0","5.3777","3.5834","39.4068","0.1979","0.0386","0.0213","0.0167","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"435","Lil'Jordan Humphrey","DEN","wr","10","17","6.8","0","0","0","0","0","0","0","0","0","0","4.1246","2.6727","29.2016","0.2068","0.0288","0.0159","0.0103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"436","Kirk Cousins","LV","qb","13","17","117","0","177.9844","247.7728","1799.6092","11.4529","5.0132","15.0365","5.89","26.7652","0.2266","0","0","0","0","1.9253","0.9814","0.5811","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"437","Derius Davis","LAC","wr","7","17","4.6","0","0","0","0","0","0","0","5.5314","32.6132","0.2228","0","0","0","0","0.0748","0.0329","0.006","926.2678","0.4173","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"438","Darius Cooper","PHI","wr","10","17","4.5","0","0","0","0","0","0","0","0","0","0","2.6888","1.796","19.9232","0.1164","0.0194","0.0107","0.0083","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"439","Bo Melton","GB","wr","11","17","3.3","0","0","0","0","0","0","0","4.3662","26.0928","0.1122","0","0","0","0","0.0591","0.026","0.0053","536.9289","0.1372","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"440","Arian Smith","NYJ","wr","13","17","1.6","0","0","0","0","0","0","0","2.3464","14.0386","0.0424","0","0","0","0","0.0317","0.014","0.0025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"441","Kameron Johnson","TB","wr","10","17","0.7","0","0","0","0","0","0","0","0.8603","5.098","0.0341","0","0","0","0","0.0116","0.0051","0.001","1028.5134","0.4489","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
