minimum_prior_rows,season,position,history_group,prior_rows,prior_seasons,prior_projection_rmse,prior_full_rmse,selected_model
50,2025,QB,limited,84,8,4.312671056705875,4.449630915383449,projection
50,2025,QB,veteran,253,8,3.2524164914101954,3.2178572043006386,full
50,2025,RB,limited,313,8,3.8475233647271394,3.794229409034614,full
50,2025,RB,veteran,589,8,3.4097131339828604,3.36526378400058,full
50,2025,TE,limited,189,8,2.2495509494440444,2.312734306631508,projection
50,2025,TE,veteran,521,8,2.3125211502608134,2.2873486970371326,full
50,2025,WR,limited,424,8,3.0977419537706035,3.17608225999385,projection
50,2025,WR,veteran,907,8,3.1706729776190836,3.1489270770122477,full
50,2026,QB,limited,97,9,4.155872951305126,4.291655187335797,projection
50,2026,QB,veteran,283,9,3.24304285485667,3.225406942557799,full
50,2026,RB,limited,349,9,3.7977419045740377,3.7555822019474827,full
50,2026,RB,veteran,662,9,3.4049723654667696,3.3552911238017518,full
50,2026,TE,limited,206,9,2.276015120209784,2.327311409810006,projection
50,2026,TE,veteran,596,9,2.3140422074935767,2.2982429952973464,full
50,2026,WR,limited,475,9,3.0557924872578526,3.1321863658744578,projection
50,2026,WR,veteran,1028,9,3.1524135183759077,3.1215786614144587,full
100,2017,QB,limited,0,0,,,full
100,2017,QB,veteran,0,0,,,full
100,2017,RB,limited,0,0,,,full
100,2017,RB,veteran,0,0,,,full
100,2017,TE,limited,0,0,,,full
100,2017,TE,veteran,0,0,,,full
100,2017,WR,limited,0,0,,,full
100,2017,WR,veteran,0,0,,,full
100,2018,QB,limited,9,1,,,full
100,2018,QB,veteran,33,1,,,full
100,2018,RB,limited,39,1,,,full
100,2018,RB,veteran,71,1,,,full
100,2018,TE,limited,22,1,,,full
100,2018,TE,veteran,65,1,,,full
100,2018,WR,limited,57,1,,,full
100,2018,WR,veteran,111,1,,,full
100,2019,QB,limited,21,2,,,full
100,2019,QB,veteran,61,2,,,full
100,2019,RB,limited,83,2,,,full
100,2019,RB,veteran,136,2,3.326009635572493,3.2789815208388013,full
100,2019,TE,limited,52,2,,,full
100,2019,TE,veteran,130,2,2.349120928387253,2.277231693258815,full
100,2019,WR,limited,107,2,3.0363136084977644,3.0890949179916825,projection
100,2019,WR,veteran,222,2,3.1961643693037667,3.2169882560248557,projection
100,2020,QB,limited,34,3,,,full
100,2020,QB,veteran,88,3,,,full
100,2020,RB,limited,125,3,4.111833708501336,4.026650324078765,full
100,2020,RB,veteran,199,3,3.3829249073732073,3.357040687890651,full
100,2020,TE,limited,74,3,,,full
100,2020,TE,veteran,194,3,2.3741973805109144,2.3391340247553463,full
100,2020,WR,limited,161,3,3.113889500209139,3.242689986092667,projection
100,2020,WR,veteran,324,3,3.163782417924611,3.182521237092416,projection
100,2021,QB,limited,43,4,,,full
100,2021,QB,veteran,121,4,3.239097758709777,3.1546690869742933,full
100,2021,RB,limited,168,4,3.9972992684856052,3.935910360618289,full
100,2021,RB,veteran,278,4,3.4387599039226022,3.4054538542797386,full
100,2021,TE,limited,89,4,,,full
100,2021,TE,veteran,266,4,2.419880942889596,2.3858759384645247,full
100,2021,WR,limited,220,4,3.06254344576588,3.192176331524715,projection
100,2021,WR,veteran,433,4,3.158349964742403,3.179762477449061,projection
100,2022,QB,limited,53,5,,,full
100,2022,QB,veteran,152,5,3.1713654064499384,3.076729383489007,full
100,2022,RB,limited,203,5,3.929768603592235,3.8467128214070567,full
100,2022,RB,veteran,359,5,3.44290133826197,3.414395998756839,full
100,2022,TE,limited,108,5,2.25443976646696,2.3189963028014633,projection
100,2022,TE,veteran,331,5,2.4001294316948316,2.3683891379925894,full
100,2022,WR,limited,272,5,3.0394203778899054,3.143469305007549,projection
