season,position,source,source_table,source_position_depth,source_max_overall_rank,season_position_median_source_depth,is_shallow_source
2020,WR,fantasydata,FantasyData,323,1877.0,197.5,False
2020,WR,ffa_projection,FFA_Projections,72,255.0,197.5,True
2021,QB,fantasydata,FantasyData,115,1998.0,75.5,False
2021,QB,ffa_projection,FFA_Projections,36,611.0,75.5,True
2021,RB,fantasydata,FantasyData,199,1998.0,135.5,False
2021,RB,ffa_projection,FFA_Projections,72,279.0,135.5,True
2021,TE,fantasydata,FantasyData,176,1998.0,106.0,False
2021,TE,ffa_projection,FFA_Projections,36,250.0,106.0,True
2021,WR,fantasydata,FantasyData,329,1998.0,200.5,False
2021,WR,ffa_projection,FFA_Projections,72,255.0,200.5,True
2022,QB,fantasydata,FantasyData,112,1959.0,74.0,False
2022,QB,ffa_projection,FFA_Projections,36,630.0,74.0,True
2022,RB,fantasydata,FantasyData,208,1959.0,140.0,False
2022,RB,ffa_projection,FFA_Projections,72,392.0,140.0,True
2022,TE,fantasydata,FantasyData,174,2237.0,105.0,False
2022,TE,ffa_projection,FFA_Projections,36,227.0,105.0,True
2022,WR,fantasydata,FantasyData,311,2239.0,191.5,False
2022,WR,ffa_projection,FFA_Projections,72,226.0,191.5,True
2023,QB,fantasydata,FantasyData,112,2070.0,74.0,False
2023,QB,ffa_projection,FFA_Projections,36,594.0,74.0,True
2023,RB,fantasydata,FantasyData,193,1839.0,132.5,False
2023,RB,ffa_projection,FFA_Projections,72,401.0,132.5,True
2023,TE,fantasydata,FantasyData,161,2071.0,98.5,False
2023,TE,ffa_projection,FFA_Projections,36,233.0,98.5,True
2023,WR,fantasydata,FantasyData,337,2069.0,204.5,False
2023,WR,ffa_projection,FFA_Projections,72,237.0,204.5,True
2024,QB,etr_rank,ETR_Ranks,29,298.0,35.0,True
2024,QB,evan_silva_rank,Evan_Silva_Ranks,15,144.0,35.0,True
2024,QB,fantasydata,FantasyData,111,1850.0,35.0,False
2024,QB,ffa_projection,FFA_Projections,35,688.0,35.0,True
2024,QB,pff_projection,PFF_Projections,64,468.0,35.0,False
2024,RB,etr_rank,ETR_Ranks,73,299.0,73.0,True
2024,RB,evan_silva_rank,Evan_Silva_Ranks,57,150.0,73.0,True
2024,RB,fantasydata,FantasyData,181,1848.0,73.0,False
2024,RB,ffa_projection,FFA_Projections,72,361.0,73.0,True
2024,RB,pff_projection,PFF_Projections,118,374.0,73.0,False
2024,TE,etr_rank,ETR_Ranks,33,294.0,36.0,True
2024,TE,evan_silva_rank,Evan_Silva_Ranks,14,141.0,36.0,True
2024,TE,fantasydata,FantasyData,157,1845.0,36.0,False
2024,TE,ffa_projection,FFA_Projections,36,399.5,36.0,True
2024,TE,pff_projection,PFF_Projections,97,355.0,36.0,False
2024,WR,etr_rank,ETR_Ranks,101,300.0,101.0,True
2024,WR,evan_silva_rank,Evan_Silva_Ranks,64,149.0,101.0,True
2024,WR,fantasydata,FantasyData,303,1849.0,101.0,False
2024,WR,ffa_projection,FFA_Projections,72,251.0,101.0,True
2024,WR,pff_projection,PFF_Projections,189,435.0,101.0,False
2025,QB,barret_rank,Barret_Ranks,11,93.0,33.5,True
2025,QB,etr_rank,ETR_Ranks,31,297.0,33.5,True
2025,QB,evan_silva_rank,Evan_Silva_Ranks,15,140.0,33.5,True
2025,QB,fantasydata,FantasyData,119,2022.0,33.5,False
2025,QB,fantasypoints,FantasyPoints_Projections,64,368.0,33.5,False
2025,QB,ffa_projection,FFA_Projections,36,1340.0,33.5,False
2025,QB,fff_rank,FFF_Ranks,27,181.0,33.5,True
2025,QB,pff_projection,PFF_Projections,67,508.0,33.5,False
2025,RB,barret_rank,Barret_Ranks,31,98.0,75.5,True
2025,RB,etr_rank,ETR_Ranks,75,295.0,75.5,True
2025,RB,evan_silva_rank,Evan_Silva_Ranks,58,150.0,75.5,True
2025,RB,fantasydata,FantasyData,194,2016.0,75.5,False
2025,RB,fantasypoints,FantasyPoints_Projections,141,524.0,75.5,False
2025,RB,ffa_projection,FFA_Projections,73,907.0,75.5,True
2025,RB,fff_rank,FFF_Ranks,76,200.0,75.5,False
2025,RB,pff_projection,PFF_Projections,137,459.0,75.5,False
2025,TE,barret_rank,Barret_Ranks,10,94.0,35.5,True
2025,TE,etr_rank,ETR_Ranks,36,284.0,35.5,False
2025,TE,evan_silva_rank,Evan_Silva_Ranks,15,135.0,35.5,True
2025,TE,fantasydata,FantasyData,159,2024.0,35.5,False
2025,TE,fantasypoints,FantasyPoints_Projections,117,522.0,35.5,False
2025,TE,ffa_projection,FFA_Projections,35,621.0,35.5,True
2025,TE,fff_rank,FFF_Ranks,24,169.0,35.5,True
2025,TE,pff_projection,PFF_Projections,98,413.0,35.5,False
2025,WR,barret_rank,Barret_Ranks,47,99.0,84.5,True
2025,WR,etr_rank,ETR_Ranks,96,300.0,84.5,False
2025,WR,evan_silva_rank,Evan_Silva_Ranks,62,148.0,84.5,True
2025,WR,fantasydata,FantasyData,309,2026.0,84.5,False
2025,WR,fantasypoints,FantasyPoints_Projections,202,523.0,84.5,False
2025,WR,ffa_projection,FFA_Projections,72,777.0,84.5,True
2025,WR,fff_rank,FFF_Ranks,73,196.0,84.5,True
2025,WR,pff_projection,PFF_Projections,206,473.0,84.5,False
2026,QB,etr_rank,ETR_Ranks,28,209.0,36.0,True
2026,QB,evan_silva_rank,Evan_Silva_Ranks,20,134.0,36.0,True
2026,QB,fantasypoints,FantasyPoints_Projections,66,420.0,36.0,False
2026,QB,ffa_projection,FFA_Projections,36,1260.0,36.0,True
2026,QB,pff_projection,PFF_Projections,65,478.0,36.0,False
2026,RB,etr_rank,ETR_Ranks,77,299.0,77.0,True
2026,RB,evan_silva_rank,Evan_Silva_Ranks,56,150.0,77.0,True
2026,RB,fantasypoints,FantasyPoints_Projections,139,542.0,77.0,False
2026,RB,ffa_projection,FFA_Projections,72,941.0,77.0,True
2026,RB,pff_projection,PFF_Projections,122,322.0,77.0,False
2026,TE,etr_rank,ETR_Ranks,38,297.0,38.0,True
2026,TE,evan_silva_rank,Evan_Silva_Ranks,16,136.0,38.0,True
2026,TE,fantasypoints,FantasyPoints_Projections,135,550.0,38.0,False
2026,TE,ffa_projection,FFA_Projections,36,574.0,38.0,True
2026,TE,pff_projection,PFF_Projections,102,424.0,38.0,False
2026,WR,etr_rank,ETR_Ranks,99,296.0,99.0,True
2026,WR,evan_silva_rank,Evan_Silva_Ranks,58,141.0,99.0,True
2026,WR,fantasypoints,FantasyPoints_Projections,210,547.0,99.0,False
2026,WR,ffa_projection,FFA_Projections,72,621.0,99.0,True
2026,WR,pff_projection,PFF_Projections,189,448.0,99.0,False
