PLAYER INFO,PLAYER INFO,PLAYER INFO,PLAYER INFO,PLAYER INFO,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS
Brian Thomas Jr.,WR,JAX,6.1253807093,,0,0,0,0,0,3.7,21.4,0.1,,107.1,59.9,863.8,5.2,150.3
Joe Burrow,QB,CIN,5.8423749363,,381.4,560.5,4104,32.9,12.4,48.7,169,1.9,,0,0,0,0,311.7
Carnell Tate,WR,TEN,5.39446847,,0,0,0,0,0,0,0,0,,108.7,66.8,885.4,4.4,148.3
Jordyn Tyson,WR,NO,5.2832633316,,0,0,0,0,0,0,0,0,,105.8,64.5,857.5,5,148
Kyle Monangai,RB,CHI,5.2312148349,,0,0,0,0,0,175.8,747.1,5.8,,35.2,25.4,198,0.9,147.4
DK Metcalf,WR,PIT,4.7580946164,,0,0,0,0,0,0,0,0,,103.2,59.4,845.2,5.4,146.6
Marvin Harrison Jr.,WR,ARZ,4.2677566283,,0,0,0,0,0,1,3.9,0,,111.9,61.3,851.7,4.8,145
RJ Harvey,RB,DEN,4.0887887337,,0,0,0,0,0,114,465.9,3.9,,58.2,46,338.3,2.6,142.4
Quentin Johnston,WR,LAC,3.9554653952,,0,0,0,0,0,2.7,14,0.1,,93.5,55.1,778.5,6.1,144
Kenny Gainwell,RB,TB,3.8053344471,,0,0,0,0,0,118.3,508.8,3,,64.7,50.5,350.3,2,141.2
Makai Lemon,WR,PHI,3.4120636225,,0,0,0,0,0,0,0,0,,95.2,60.2,815.8,5.1,142.3
Josh Downs,WR,IND,3.0668063174,,0,0,0,0,0,2.2,10.4,0,,107.5,77.8,775.2,3.9,140.9
Jacory Croskey-Merritt,RB,WAS,3.0000460946,,0,0,0,0,0,181.8,786.7,6.3,,18.9,16.4,114.5,0.3,137.9
Jalen Hurts,QB,PHI,2.9833015295,,296.2,449.6,3411.6,22,10.4,98.7,410.6,8.2,,0,0,0,0,304.3
Tucker Kraft,TE,GB,2.7975810651,,0,0,0,0,0,1.1,4.4,0,,91.3,65.6,750,5,138.2
Caleb Williams,QB,CHI,2.6778170182,,331.1,540.9,3876.8,25.8,11.7,74.4,406,2.7,,0,0,0,0,303.4
Rachaad White,RB,WAS,2.5043173969,,0,0,0,0,0,131.1,551.1,4.1,,42,38,254.7,1.8,135
Justin Herbert,QB,LAC,2.4692452379,,346,521.7,3883.4,26.4,11.4,75.4,381,2.5,,0,0,0,0,302.6
J.K. Dobbins,RB,DEN,2.327579002,,0,0,0,0,0,169.1,776,5.5,,20.9,15.9,106.5,0.8,134
Stefon Diggs,WR,WAS,2.1561382908,,0,0,0,0,0,0,0,0.1,,95.6,60.4,783.9,4.7,137.4
Alec Pierce,WR,IND,1.8478728048,,0,0,0,0,0,0.5,3.2,0,,94.6,55.9,810.4,4.5,136.3
Courtland Sutton,WR,DEN,1.8286590487,,0,0,0,0,0,0,0,0,,95.6,55.5,718.3,6.1,136.2
Sam LaPorta,TE,DET,1.7412744608,,0,0,0,0,0,0,0,0,,89.4,68.4,713.3,4.8,134.3
Trevor Lawrence,QB,JAX,1.7117835013,,334.4,535.2,3804.4,24.7,12.9,68.8,316.6,4.8,,0,0,0,0,298.5
Michael Wilson,WR,ARZ,1.6721520671,,0,0,0,0,0,0,0,0,,105.5,64.9,807.2,3.7,135.4
Jordan Mason,RB,MIN,1.561101496,,0,0,0,0,0,166.5,752.3,5.2,,19.3,14.8,97,0.4,125.9
Chris Godwin Jr.,WR,TB,1.5094625847,,0,0,0,0,0,1,4.2,0,,93.6,62.4,741.9,4.8,134.6
Jordan Addison,WR,MIN,1.4990348743,,0,0,0,0,0,2.1,11.4,0.1,,95.1,57.1,736.4,5.1,134.5
Harold Fannin Jr.,TE,CLE,1.4569587482,,0,0,0,0,0,5.5,15.9,0,,104.2,72.7,739.6,3.5,132.9
Dak Prescott,QB,DAL,1.4249859048,,363.3,544.2,4044.1,29.1,12,48.8,175.4,2,,0,0,0,0,295.7
Kyle Pitts Sr.,TE,ATL,1.3039799543,,0,0,0,0,0,0,0,0,,102.2,71.1,767,3.2,131.5
Michael Pittman Jr.,WR,PIT,1.1865022145,,0,0,0,0,0,0,0,0,,101.8,68.9,738.7,3.9,131.7
De'Zhaun Stribling,WR,SF,1,,0,0,0,0,0,0,0,0,,86.6,54.5,761,4.5,130.4
Aaron Jones Sr.,RB,MIN,1,,0,0,0,0,0,128.7,556.5,3,,42,32.4,235.2,1.3,121.2
Wan'Dale Robinson,WR,TEN,1,,0,0,0,0,0,4.5,24.6,0.1,,104.4,71.1,751,2.6,129.3
Tyrone Tracy Jr.,RB,NYG,1,,0,0,0,0,0,143.7,617.1,2.6,,34.1,27.3,196.8,1.3,118.4
Jakobi Meyers,WR,JAX,1,,0,0,0,0,0,4.3,22.4,0,,92.1,59.7,686.8,4.7,129
Brock Purdy,QB,SF,1,,331.9,496.1,3967.4,26.1,12.6,55.9,232.2,3.1,,0,0,0,0,292.3
George Kittle,TE,SF,1,,0,0,0,0,0,0.6,2.9,0,,76.6,61.1,701.2,4.7,129.2
Chris Rodriguez Jr.,RB,JAX,1,,0,0,0,0,0,162,698.7,4.9,,17.6,11.8,83,0.3,115.3
